IC50,Cancer,Drug,PKA_113_ASA,PKA_113_VOL,PKA_123_T,PKA_123_T_EXP,PKA_194_EXP,PKA_214_B62,PKA_243_ENG,MUT_CAMK1G_CSV,MUT_ROR1_EXP,CNV_ROCK2_gain,REC_R_HSA_176298,REC_R_HSA_176298_EXP,REC_R_HSA_5140741_EXP,REC_R_HSA_5218819_EXP,PWY_R_HSA_166166_CSV,PWY_R_HSA_168928_CSV,PWY_R_HSA_2187338_CSV,PWY_R_HSA_6796648_EXP,PWY_R_HSA_6811558,PWY_R_HSA_6811558_EXP,GO_0005977_CSV,GO_0007049,GO_0007059_EXP,GO_0019827_EXP,GO_0031032,GO_0032007_CSV,GO_0043154,GO_0045785_EXP,GO_0060271_CSV,GO_0060444,GO_0070266,SFAM_CAMK1_CSV,SFAM_InsR_CSV,SFAM_Other_Unique_CSV,SFAM_TSSK,CLS_Histology_subtype_1_adenocarcinoma,EXP_CDKL2,EXP_CDC42BPB,EXP_PKN2,EXP_DCLK3,EXP_EIF2AK1,EXP_LMTK2,Predicted IC50,Validation
-1.05486,905970,1,0,0,0,0,0,0,0,0.685988,3.759271489,0,0,0,3.759271489,0,0,0,0,0,2,7.4663879514,0,0,0,0,0,0,0,0,0,0,0,0.685988,0,0,0,1,2.8396566689,6.967616114,7.0442307617,3.0061853905,7.0524261159,3.0776695352,4.2560068998,8
2.041091,905972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6543448056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0096570969,6.9301425564,5.9718387831,2.8784001812,6.5843919018,3.0128593324,1.7868822348,5
1.177019,907786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829447,0.829447,0,0,1,3.3742233363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3.0449208436,7.1443443553,7.1012686258,3.1352299171,6.8096567615,2.8941426895,1.1911285969,10
2.496836,908471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1712430541,7.1437068599,5.8229137511,3.4529143014,7.1621062436,3.2032414416,2.3315888682,7
0.508283,1240183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7183753287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2310375464,6.5530615545,7.5083716618,3.036138351,6.9156239127,2.88922673,2.6770574586,5
3.425586,1298352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4254233055,0,0,0,0,0,0,0,3.4254233055,0,0,0,0,0,0,0,0,3.1504078355,6.2319541556,8.0539852018,3.5341084868,6.8839739607,3.1032124068,2.8061678112,9
2.300535,687799,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0863913325,6.3230758255,6.6005384697,3.3380665141,6.9205123871,3.0401070318,1.8231677009,3
2.199997,687804,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0616607523,0.725127,0,0,0,2,6.3447537888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8490198424,5.0295199934,6.9309695809,3.4152570245,8.0015016946,2.9788823386,2.6970689153,10
4.795639,687807,5,0,0,0,0,0,0,0,0,0,0,1,6.4024499127,0,0,0,0,0,17.506729094,2,12.868245919,0,2,0,3.4056065648,0,0,0,4.6506073731,0,0,0,0,0,0,0,0,3.3338986286,5.1867197157,7.1518131238,3.1686908487,7.9311522343,3.2604728203,3.7291028645,10
3.958651,687814,5,0,0,0,0,0,0,-4.618,0,0,0,1,6.0551343414,0,3.4140205226,0,0,0,6.0551343414,0,0,0,1,0,0,0,0,0,6.8245549249,0,0,0,0,0,0,0,0,2.9662462555,4.8029405091,6.4491119529,3.0578092677,6.3981975883,2.9087883018,3.6689058907,7
4.633036,724859,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3055806774,6.2026712915,6.6858526728,3.3211602136,6.4816097859,3.4425918885,2.5810364507,8
3.370895,724863,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0183967358,0,0,0,3.0183967358,0,0,0,0,0.764236,0,0,0,0,0,0,0,3.028691423,6.0869828452,7.0092672868,3.3947743755,7.3136832625,3.0594762586,3.2754316687,10
2.196627,724866,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6534746933,1,3.9752667183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0071110679,7.042498748,7.2507181388,3.2264552253,6.6723870823,2.9521872553,2.9124684013,7
1.13262,753592,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7311939104,0,0,0,1,6.6316109244,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9357834572,7.1181903724,6.6748935924,3.1277529051,7.4368717823,2.9971229722,1.7322438609,3
4.233748,905941,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28831796,5.4688948397,7.5231440589,3.0887908267,6.8736887992,2.8977941785,2.6276278897,6
3.104087,905942,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5357861613,1,3.7196849468,0,1,7.2662494084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2710148944,5.9105511934,7.3237299417,3.0293313217,7.212775523,3.3223362142,2.7353980968,4
6.96024,905970,5,0,0,0,0,0,0,0,0.685988,3.759271489,0,0,0,3.759271489,0,0,0,0,0,2,7.4663879514,0,0,0,0,0,0,0,0,0,0,0,0.685988,0,0,0,1,2.8396566689,6.967616114,7.0442307617,3.0061853905,7.0524261159,3.0776695352,4.2560068998,2
1.486263,905972,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6543448056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0096570969,6.9301425564,5.9718387831,2.8784001812,6.5843919018,3.0128593324,1.7868822348,5
0.019253,907786,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829447,0.829447,0,0,1,3.3742233363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3.0449208436,7.1443443553,7.1012686258,3.1352299171,6.8096567615,2.8941426895,1.1911285969,1
2.32643,908471,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1712430541,7.1437068599,5.8229137511,3.4529143014,7.1621062436,3.2032414416,2.3315888682,7
2.644899,910779,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4227903621,0,0,0.812456,0,0,0,0,0,0,0,0,0,0,4.8784764011,0,0,0,0,0,0,0,0,2.881224432,7.1011310861,6.9558777751,3.0838558715,6.6071857705,2.8635791872,2.4761193181,6
1.680109,924244,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.049763474,0,0,0,0,0,0.847326,0,0,0,0,0,0,0.81869,0,0,1,2.9912863191,6.328136499,6.6236327984,3.1277168198,6.9376744976,3.0629839579,1.980866514,8
3.239282,1240183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7183753287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2310375464,6.5530615545,7.5083716618,3.036138351,6.9156239127,2.88922673,2.6770574586,1
3.104674,1298352,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4254233055,0,0,0,0,0,0,0,3.4254233055,0,0,0,0,0,0,0,0,3.1504078355,6.2319541556,8.0539852018,3.5341084868,6.8839739607,3.1032124068,2.8061678112,9
3.162575,687799,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0863913325,6.3230758255,6.6005384697,3.3380665141,6.9205123871,3.0401070318,1.8231677009,10
0.777634,687804,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0616607523,0.725127,0,0,0,2,6.3447537888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8490198424,5.0295199934,6.9309695809,3.4152570245,8.0015016946,2.9788823386,2.6970689153,9
3.979374,687807,6,0,0,0,0,0,0,0,0,0,0,1,6.4024499127,0,0,0,0,0,17.506729094,2,12.868245919,0,2,0,3.4056065648,0,0,0,4.6506073731,0,0,0,0,0,0,0,0,3.3338986286,5.1867197157,7.1518131238,3.1686908487,7.9311522343,3.2604728203,3.7291028645,4
3.804432,687814,6,0,0,0,0,0,0,-4.618,0,0,0,1,6.0551343414,0,3.4140205226,0,0,0,6.0551343414,0,0,0,1,0,0,0,0,0,6.8245549249,0,0,0,0,0,0,0,0,2.9662462555,4.8029405091,6.4491119529,3.0578092677,6.3981975883,2.9087883018,3.6689058907,9
3.85706,724831,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2091023076,7.2914990858,7.1335940625,3.0945514894,6.8336203869,3.0066789255,2.9910386933,2
3.665966,724859,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3055806774,6.2026712915,6.6858526728,3.3211602136,6.4816097859,3.4425918885,2.5810364507,4
4.035351,724863,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0183967358,0,0,0,3.0183967358,0,0,0,0,0.764236,0,0,0,0,0,0,0,3.028691423,6.0869828452,7.0092672868,3.3947743755,7.3136832625,3.0594762586,3.2754316687,8
3.785312,724866,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6534746933,1,3.9752667183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0071110679,7.042498748,7.2507181388,3.2264552253,6.6723870823,2.9521872553,2.9124684013,6
1.868683,753592,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7311939104,0,0,0,1,6.6316109244,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9357834572,7.1181903724,6.6748935924,3.1277529051,7.4368717823,2.9971229722,1.7322438609,4
3.440995,905941,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28831796,5.4688948397,7.5231440589,3.0887908267,6.8736887992,2.8977941785,2.6276278897,5
2.757202,905942,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5357861613,1,3.7196849468,0,1,7.2662494084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2710148944,5.9105511934,7.3237299417,3.0293313217,7.212775523,3.3223362142,2.7353980968,4
4.624859,905970,6,0,0,0,0,0,0,0,0.685988,3.759271489,0,0,0,3.759271489,0,0,0,0,0,2,7.4663879514,0,0,0,0,0,0,0,0,0,0,0,0.685988,0,0,0,1,2.8396566689,6.967616114,7.0442307617,3.0061853905,7.0524261159,3.0776695352,4.2560068998,6
3.112047,905972,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6543448056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0096570969,6.9301425564,5.9718387831,2.8784001812,6.5843919018,3.0128593324,1.7868822348,4
2.268495,907786,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829447,0.829447,0,0,1,3.3742233363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3.0449208436,7.1443443553,7.1012686258,3.1352299171,6.8096567615,2.8941426895,1.1911285969,10
3.018581,908471,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1712430541,7.1437068599,5.8229137511,3.4529143014,7.1621062436,3.2032414416,2.3315888682,8
3.687573,910779,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4227903621,0,0,0.812456,0,0,0,0,0,0,0,0,0,0,4.8784764011,0,0,0,0,0,0,0,0,2.881224432,7.1011310861,6.9558777751,3.0838558715,6.6071857705,2.8635791872,2.4761193181,1
3.573182,924244,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.049763474,0,0,0,0,0,0.847326,0,0,0,0,0,0,0.81869,0,0,1,2.9912863191,6.328136499,6.6236327984,3.1277168198,6.9376744976,3.0629839579,1.980866514,9
3.40813,1240183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7183753287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2310375464,6.5530615545,7.5083716618,3.036138351,6.9156239127,2.88922673,2.6770574586,5
3.492245,1298352,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4254233055,0,0,0,0,0,0,0,3.4254233055,0,0,0,0,0,0,0,0,3.1504078355,6.2319541556,8.0539852018,3.5341084868,6.8839739607,3.1032124068,2.8061678112,9
-0.482595,687799,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0863913325,6.3230758255,6.6005384697,3.3380665141,6.9205123871,3.0401070318,1.8231677009,2
2.949871,687804,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0616607523,0.725127,0,0,0,2,6.3447537888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8490198424,5.0295199934,6.9309695809,3.4152570245,8.0015016946,2.9788823386,2.6970689153,10
2.485857,687807,29,0,0,0,0,0,0,0,0,0,0,1,6.4024499127,0,0,0,0,0,17.506729094,2,12.868245919,0,2,0,3.4056065648,0,0,0,4.6506073731,0,0,0,0,0,0,0,0,3.3338986286,5.1867197157,7.1518131238,3.1686908487,7.9311522343,3.2604728203,3.7291028645,3
1.700292,687814,29,0,0,0,0,0,0,-4.618,0,0,0,1,6.0551343414,0,3.4140205226,0,0,0,6.0551343414,0,0,0,1,0,0,0,0,0,6.8245549249,0,0,0,0,0,0,0,0,2.9662462555,4.8029405091,6.4491119529,3.0578092677,6.3981975883,2.9087883018,3.6689058907,8
2.695501,724831,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2091023076,7.2914990858,7.1335940625,3.0945514894,6.8336203869,3.0066789255,2.9910386933,6
-3.009852,724859,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3055806774,6.2026712915,6.6858526728,3.3211602136,6.4816097859,3.4425918885,2.5810364507,8
2.050421,724863,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0183967358,0,0,0,3.0183967358,0,0,0,0,0.764236,0,0,0,0,0,0,0,3.028691423,6.0869828452,7.0092672868,3.3947743755,7.3136832625,3.0594762586,3.2754316687,8
2.141305,724866,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6534746933,1,3.9752667183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0071110679,7.042498748,7.2507181388,3.2264552253,6.6723870823,2.9521872553,2.9124684013,1
2.307313,753592,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7311939104,0,0,0,1,6.6316109244,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9357834572,7.1181903724,6.6748935924,3.1277529051,7.4368717823,2.9971229722,1.7322438609,6
3.010363,905941,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28831796,5.4688948397,7.5231440589,3.0887908267,6.8736887992,2.8977941785,2.6276278897,3
1.29574,905942,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5357861613,1,3.7196849468,0,1,7.2662494084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2710148944,5.9105511934,7.3237299417,3.0293313217,7.212775523,3.3223362142,2.7353980968,1
4.285617,905970,29,0,0,0,0,0,0,0,0.685988,3.759271489,0,0,0,3.759271489,0,0,0,0,0,2,7.4663879514,0,0,0,0,0,0,0,0,0,0,0,0.685988,0,0,0,1,2.8396566689,6.967616114,7.0442307617,3.0061853905,7.0524261159,3.0776695352,4.2560068998,9
1.391834,905972,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6543448056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0096570969,6.9301425564,5.9718387831,2.8784001812,6.5843919018,3.0128593324,1.7868822348,5
0.984401,907786,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829447,0.829447,0,0,1,3.3742233363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3.0449208436,7.1443443553,7.1012686258,3.1352299171,6.8096567615,2.8941426895,1.1911285969,3
1.730952,908471,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1712430541,7.1437068599,5.8229137511,3.4529143014,7.1621062436,3.2032414416,2.3315888682,3
2.312657,924244,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.049763474,0,0,0,0,0,0.847326,0,0,0,0,0,0,0.81869,0,0,1,2.9912863191,6.328136499,6.6236327984,3.1277168198,6.9376744976,3.0629839579,1.980866514,1
3.360757,1240183,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7183753287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2310375464,6.5530615545,7.5083716618,3.036138351,6.9156239127,2.88922673,2.6770574586,2
-0.194931,1298352,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4254233055,0,0,0,0,0,0,0,3.4254233055,0,0,0,0,0,0,0,0,3.1504078355,6.2319541556,8.0539852018,3.5341084868,6.8839739607,3.1032124068,2.8061678112,4
2.303916,687799,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0863913325,6.3230758255,6.6005384697,3.3380665141,6.9205123871,3.0401070318,1.8231677009,10
2.680751,687804,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0616607523,0.725127,0,0,0,2,6.3447537888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8490198424,5.0295199934,6.9309695809,3.4152570245,8.0015016946,2.9788823386,2.6970689153,1
4.545144,687807,30,0,0,0,0,0,0,0,0,0,0,1,6.4024499127,0,0,0,0,0,17.506729094,2,12.868245919,0,2,0,3.4056065648,0,0,0,4.6506073731,0,0,0,0,0,0,0,0,3.3338986286,5.1867197157,7.1518131238,3.1686908487,7.9311522343,3.2604728203,3.7291028645,4
2.226392,687814,30,0,0,0,0,0,0,-4.618,0,0,0,1,6.0551343414,0,3.4140205226,0,0,0,6.0551343414,0,0,0,1,0,0,0,0,0,6.8245549249,0,0,0,0,0,0,0,0,2.9662462555,4.8029405091,6.4491119529,3.0578092677,6.3981975883,2.9087883018,3.6689058907,1
2.932001,724831,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2091023076,7.2914990858,7.1335940625,3.0945514894,6.8336203869,3.0066789255,2.9910386933,3
1.284063,724859,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3055806774,6.2026712915,6.6858526728,3.3211602136,6.4816097859,3.4425918885,2.5810364507,5
2.795152,724863,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0183967358,0,0,0,3.0183967358,0,0,0,0,0.764236,0,0,0,0,0,0,0,3.028691423,6.0869828452,7.0092672868,3.3947743755,7.3136832625,3.0594762586,3.2754316687,4
2.503532,724866,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6534746933,1,3.9752667183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0071110679,7.042498748,7.2507181388,3.2264552253,6.6723870823,2.9521872553,2.9124684013,6
1.239962,753592,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7311939104,0,0,0,1,6.6316109244,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9357834572,7.1181903724,6.6748935924,3.1277529051,7.4368717823,2.9971229722,1.7322438609,9
4.015135,905941,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28831796,5.4688948397,7.5231440589,3.0887908267,6.8736887992,2.8977941785,2.6276278897,7
2.910077,905942,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5357861613,1,3.7196849468,0,1,7.2662494084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2710148944,5.9105511934,7.3237299417,3.0293313217,7.212775523,3.3223362142,2.7353980968,8
4.551291,905970,30,0,0,0,0,0,0,0,0.685988,3.759271489,0,0,0,3.759271489,0,0,0,0,0,2,7.4663879514,0,0,0,0,0,0,0,0,0,0,0,0.685988,0,0,0,1,2.8396566689,6.967616114,7.0442307617,3.0061853905,7.0524261159,3.0776695352,4.2560068998,8
-0.177147,905972,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6543448056,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0096570969,6.9301425564,5.9718387831,2.8784001812,6.5843919018,3.0128593324,1.7868822348,1
2.61695,907786,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829447,0.829447,0,0,1,3.3742233363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,3.0449208436,7.1443443553,7.1012686258,3.1352299171,6.8096567615,2.8941426895,1.1911285969,8
1.295521,908471,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1712430541,7.1437068599,5.8229137511,3.4529143014,7.1621062436,3.2032414416,2.3315888682,4
2.839449,924244,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.049763474,0,0,0,0,0,0.847326,0,0,0,0,0,0,0.81869,0,0,1,2.9912863191,6.328136499,6.6236327984,3.1277168198,6.9376744976,3.0629839579,1.980866514,1
2.928228,1240183,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7183753287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2310375464,6.5530615545,7.5083716618,3.036138351,6.9156239127,2.88922673,2.6770574586,6
2.577159,1298352,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4254233055,0,0,0,0,0,0,0,3.4254233055,0,0,0,0,0,0,0,0,3.1504078355,6.2319541556,8.0539852018,3.5341084868,6.8839739607,3.1032124068,2.8061678112,2
0.060096,687799,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0863913325,6.3230758255,6.6005384697,3.3380665141,6.9205123871,3.0401070318,1.8231677009,4
