IC50,Cancer,Drug,MOT_3D_RegulatorySpine_CSV,REC_R_HSA_3928602,REC_R_HSA_5218804,GO_0007286,GO_0016477_CSV,GO_0035023,GO_0048008,GO_0070372_EXP,FAM_CK1,EXP_CSNK1A1L,Predicted IC50,Validation
0.090495,924248,86,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,1
-1.799372,925343,86,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,5
1.868299,971773,86,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,4
-3.488059,909720,87,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,4
-3.790158,909732,87,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,1
0.427668,909754,87,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,6
-3.573079,909756,87,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,2
-3.666724,909759,87,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,8
-1.19305,924248,87,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,3
-3.520107,925343,87,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,1
-2.698862,971773,87,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,10
3.982684,909720,91,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,1
3.865958,909732,91,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,2
4.974666,909754,91,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,5
3.783372,909756,91,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,7
3.125958,924248,91,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,2
3.519515,925343,91,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
3.555436,971773,91,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,5
2.491565,909720,106,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
1.628277,909732,106,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,2
5.328162,909754,106,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,1
1.921398,909756,106,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,8
3.413336,924248,106,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
2.032821,925343,106,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,9
2.576847,971773,106,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,1
5.125856,909720,110,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,3
2.04201,909732,110,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,4
5.099866,909754,110,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,4
4.339003,909756,110,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,2
3.707279,924248,110,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
3.881438,925343,110,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,9
3.893806,971773,110,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,3
1.420474,909720,119,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
1.519009,909732,119,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,5
4.411118,909754,119,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,5
2.427924,909756,119,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,7
2.091463,924248,119,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,3
2.242404,925343,119,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,9
2.242484,971773,119,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,1
3.766263,906999,152,0.7194,1,1,0,0.7194,1,1,2.9446837949,1,3.0495934171,3.4235772361,5
2.031942,907298,152,0,0,0,0,0,0,0,0,0,2.976818149,1.9481371283,3
3.147121,908127,152,0,0,0,0,1.27964,1,0,0,1,3.0421537126,2.6103607731,1
2.56686,909264,152,0,1,0,0,0,0,0,0,1,2.8489562007,2.4100723932,10
2.349132,909716,152,0,0,0,0,0.635086,0,0,0,0,3.0394636924,2.2587984352,4
1.801294,909720,152,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,7
2.915096,909732,152,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,8
5.494769,909754,152,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,5
2.930723,909756,152,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,9
1.091661,909759,152,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,8
2.448993,910784,152,0,0,0,0,0,0,0,0,0,2.7731873637,1.9069176774,5
2.094207,924248,152,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
3.54415,925343,152,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
1.168449,971773,152,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,7
2.35653,971774,152,0.807544,1,0,0,0.726215,1,1,4.2084771202,1,3.0918643898,2.7744556068,6
3.102343,1240166,152,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,8
2.694391,1240210,152,0,1,1,0,0,0,0,0,1,2.9949189991,2.3530914981,9
1.687852,1240215,152,0,0,0,0,0,0,1,0,0,3.0662629843,2.3442358402,5
1.77293,1299061,152,0,0,0,0,0,0,0,0,0,3.181275322,1.8029455566,2
-0.501622,906999,153,0.7194,1,1,0,0.7194,1,1,2.9446837949,1,3.0495934171,3.4235772361,4
-1.550464,907298,153,0,0,0,0,0,0,0,0,0,2.976818149,1.9481371283,3
-2.374704,908127,153,0,0,0,0,1.27964,1,0,0,1,3.0421537126,2.6103607731,2
-0.100821,909264,153,0,1,0,0,0,0,0,0,1,2.8489562007,2.4100723932,4
0.079651,909716,153,0,0,0,0,0.635086,0,0,0,0,3.0394636924,2.2587984352,10
-0.954715,909720,153,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,10
-1.172812,909732,153,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,7
1.283572,909754,153,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,6
-1.062023,909756,153,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,1
-3.175861,909759,153,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,7
-2.279459,910784,153,0,0,0,0,0,0,0,0,0,2.7731873637,1.9069176774,10
-0.153597,924248,153,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,7
-1.56745,925343,153,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,7
-0.505033,971773,153,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,7
0.196352,1240166,153,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,1
-0.103162,1240210,153,0,1,1,0,0,0,0,0,1,2.9949189991,2.3530914981,10
-1.736671,1240215,153,0,0,0,0,0,0,1,0,0,3.0662629843,2.3442358402,2
-0.860341,1299061,153,0,0,0,0,0,0,0,0,0,3.181275322,1.8029455566,6
-0.166778,906999,155,0.7194,1,1,0,0.7194,1,1,2.9446837949,1,3.0495934171,3.4235772361,7
-2.645624,907298,155,0,0,0,0,0,0,0,0,0,2.976818149,1.9481371283,8
-1.333068,908127,155,0,0,0,0,1.27964,1,0,0,1,3.0421537126,2.6103607731,2
1.637921,909264,155,0,1,0,0,0,0,0,0,1,2.8489562007,2.4100723932,1
0.809343,909716,155,0,0,0,0,0.635086,0,0,0,0,3.0394636924,2.2587984352,9
-1.317782,909720,155,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,9
-0.25872,909732,155,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,9
3.097977,909754,155,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,6
-0.409064,909756,155,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,9
-0.948487,909759,155,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,2
-4.262633,910784,155,0,0,0,0,0,0,0,0,0,2.7731873637,1.9069176774,1
0.098028,924248,155,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,10
-0.301616,925343,155,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,1
1.335727,971773,155,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,4
1.342559,1240166,155,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,3
-0.324222,1240210,155,0,1,1,0,0,0,0,0,1,2.9949189991,2.3530914981,6
-0.879344,1240215,155,0,0,0,0,0,0,1,0,0,3.0662629843,2.3442358402,5
-2.107172,1299061,155,0,0,0,0,0,0,0,0,0,3.181275322,1.8029455566,2
-1.339993,906999,157,0.7194,1,1,0,0.7194,1,1,2.9446837949,1,3.0495934171,3.4235772361,3
-1.352738,907298,157,0,0,0,0,0,0,0,0,0,2.976818149,1.9481371283,7
-0.725057,908127,157,0,0,0,0,1.27964,1,0,0,1,3.0421537126,2.6103607731,8
-0.12478,909264,157,0,1,0,0,0,0,0,0,1,2.8489562007,2.4100723932,2
-0.607832,909716,157,0,0,0,0,0.635086,0,0,0,0,3.0394636924,2.2587984352,9
-0.718715,909720,157,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,9
-1.991456,909732,157,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,5
1.012185,909754,157,0.874992,2,2,0,1.249564,4,2,14.35521576,4,3.2239404416,4.3945062767,9
-0.709941,909756,157,0,0,0,0,0,0,0,0,0,2.8475138,1.9889623269,4
-1.826004,909759,157,0,0,0,0,0,0,0,0,0,3.0146730322,1.806315028,4
-1.782953,910784,157,0,0,0,0,0,0,0,0,0,2.7731873637,1.9069176774,6
-0.875008,924248,157,0,0,0,0,0.770379,0,0,4.9079778596,0,2.9762225287,2.4684313574,8
0.065795,925343,157,0,0,0,0,0,1,0,0,1,2.9962981835,2.3611714733,4
-1.186433,971773,157,0,0,0,1,0,0,0,0,0,2.9223297099,1.6889758698,10
-0.992556,1240166,157,0,0,0,0,0,1,0,2.7966849473,0,3.0238717604,2.3928575184,2
-0.406442,1240210,157,0,1,1,0,0,0,0,0,1,2.9949189991,2.3530914981,10
0.287834,1240215,157,0,0,0,0,0,0,1,0,0,3.0662629843,2.3442358402,4
-0.671804,1299061,157,0,0,0,0,0,0,0,0,0,3.181275322,1.8029455566,10
1.321648,906999,158,0.7194,1,1,0,0.7194,1,1,2.9446837949,1,3.0495934171,3.4235772361,9
0.692905,907298,158,0,0,0,0,0,0,0,0,0,2.976818149,1.9481371283,8
0.381106,908127,158,0,0,0,0,1.27964,1,0,0,1,3.0421537126,2.6103607731,7
1.23682,909264,158,0,1,0,0,0,0,0,0,1,2.8489562007,2.4100723932,6
2.015804,909716,158,0,0,0,0,0.635086,0,0,0,0,3.0394636924,2.2587984352,2
1.503897,909720,158,0,0,0,1,0,0,0,0,0,3.0099116771,1.5388606698,6
0.371039,909732,158,0,1,0,0,0,0,0,0,1,2.973266203,2.1103585226,6
