IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_828,Fingerprint_826,Fingerprint_822,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_687,Fingerprint_677,Fingerprint_646,Fingerprint_644,Fingerprint_629,Fingerprint_617,Fingerprint_611,REC_R_HSA_141409,REC_R_HSA_141409_EXP,GO_0030878,GO_0030878_EXP,CLS_average_ploidy,EXP_PIM2,EXP_STK24,EXP_STK19,Predicted IC50,Validation
3.118655,924187,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,3.925059676,4
2.438339,930082,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,2.5409424797,6
-2.503141,910691,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,2.0774878598,2
-1.01954,924187,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,2.1969507698,3
-3.92596,930082,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,0.4267681143,7
4.391354,910691,63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,3.057191194,1
4.350625,924187,63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,3.4611067895,8
1.615005,930082,63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,2.6420330813,5
2.588104,910691,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,2.0645577587,4
2.0881,924187,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,3.3450781405,1
1.092362,930082,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,1.9702129246,5
-2.851566,910691,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,-2.673843914,10
-4.692665,930082,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,-2.47439582,3
-2.458176,910691,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,-0.261892289,1
-1.671104,924187,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,0.1845954554,10
-3.697383,930082,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,-0.118772253,2
-2.994851,910691,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,-2.817997759,5
-1.949234,924187,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,4.7143561173,0,0,2.6533508085,4.2021384011,4.0838799576,3.4219937197,-1.843474647,7
-4.44524,930082,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,-3.342080939,4
4.511931,910691,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,1.9863887378,3
3.656679,930082,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6.9632637271,2.0219194553,3.597451008,4.8972569097,2.6984461734,1.7319186729,5
2.837127,910691,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2.2577327546,3.7433573765,4.5356846511,2.7212952994,2.0774878598,3
