IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_672,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_643,Fingerprint_635,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,PKA_153_CHA,MOT_2D_linker_CSV,MUT_ALPK1,MUT_MAP3K6,MUT_MAP3K6_EXP,PWY_R_HSA_2454202_CSV,GO_0001764,GO_0007257_CSV,GO_0014068_CSV,GO_0016477_CSV,SFAM_Alpha_Unclassified_EXP,EXP_FAM198B,EXP_MINK1,EXP_LIMK2,EXP_ANKK1,EXP_WNK4,EXP_ROCK1,PKA_151_POL_X_Fingerprint_611,PKA_153_CSV_X_Fingerprint_656,PKA_153_EXP_X_Fingerprint_656,PKA_153_POL_X_Fingerprint_576,PKA_153_POL_X_Fingerprint_611,PKA_73_ASA_X_Fingerprint_644,EXP_AKT1_X_EXP_ADCY2,EXP_AKT1_X_EXP_APAF1,EXP_AKT1_X_EXP_CXCR4,EXP_AKT1_X_EXP_NF2,EXP_CDK4_X_EXP_CDC25B,EXP_CDK4_X_EXP_CDKN3,EXP_CDK4_X_EXP_RPA1,EXP_CDK4_X_EXP_SUPT3H,EXP_CDK9_X_EXP_CCND2,EXP_CDK9_X_EXP_HEXIM1,EXP_CDK9_X_EXP_LARP7,EXP_CDK9_X_EXP_NELFA,EXP_CDK9_X_EXP_POLR2B,EXP_CDK9_X_EXP_TAF11,EXP_CDK9_X_EXP_TCEA1,EXP_MAP2K7_X_EXP_MYC,EXP_MAP2K7_X_EXP_VEGFA,EXP_MAPKAPK3_X_EXP_CBX6,EXP_MAPKAPK3_X_EXP_HIST1H2BJ,EXP_MARK2_X_EXP_SLC3A2,EXP_MINK1_X_EXP_CHRNE,EXP_NEK7_X_EXP_TOP2B,EXP_OXSR1_X_EXP_SLC22A13,EXP_PRKCA_X_EXP_ACTG1,EXP_PRKCA_X_EXP_CALM1,EXP_PRKCA_X_EXP_GNAO1,EXP_PRKCA_X_EXP_GNGT2,EXP_PRKCA_X_EXP_LEMD3,EXP_PRKCA_X_EXP_PLCB2,EXP_PRKCA_X_EXP_PLCD4,EXP_PRKCA_X_EXP_PPP1R14A,EXP_PRKCA_X_EXP_RACK1,EXP_PRKCA_X_EXP_YWHAG,EXP_STK24_X_EXP_MOB4,EXP_STK24_X_EXP_PPP2R1A,EXP_STK24_X_EXP_PPP2R1B,EXP_TGFBR2_X_EXP_FBN1,EXP_TGFBR2_X_EXP_NEDD4L,EXP_TGFBR2_X_EXP_SMAD6,EXP_TRIB3_X_EXP_TGS1,PWY_R_HSA_5683057_X_PWY_R_HSA_8953854,GO_0000187_EXP_X_GO_0001525_EXP,GO_0001764_EXP_X_GO_0034613_EXP,GO_0001764_X_GO_0009267,GO_0002250_CSV_X_GO_0007169_CSV,GO_0006897_EXP_X_GO_0070372_EXP,GO_0006897_X_GO_0045944,GO_0007030_EXP_X_GO_0048013_EXP,GO_0007030_X_GO_0070372,GO_0031098_X_GO_0048812,GO_0035556_EXP_X_GO_0051966_EXP,GO_0035556_EXP_X_GO_1901215_EXP,Predicted IC50,Validation
-0.058571,1298156,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1726898047,3.3756016268,5.1073644864,6.1254210469,2.9865058222,3.0816122956,3.2560711254,0,0,0,0,0,0,12.661898592,14.7028283,12.020167563,18.121378425,60.954618391,61.096975145,54.764001028,33.111257418,21.367499684,35.263929779,41.993241525,29.907365256,53.50228688,34.712367636,50.538547428,50.07414439,28.39021887,17.924273717,17.615316462,43.301625462,19.769640938,54.225978857,22.652578092,46.335123217,40.973202554,12.665789882,12.638610922,17.619715407,12.850429048,12.600566121,11.842411046,49.527429856,21.404658555,38.455300346,30.652563601,23.799680301,12.607159913,26.612585552,16.715990584,46.255821598,0,0,0,0,0,0,0,0,0,0,0,0,0.6241775298,10
3.707705,907061,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7136941152,4.9858205617,5.2810697617,3.0408768977,2.9440036703,3.226862107,0,0,0,0,0,0,13.408632912,15.740469472,12.799155767,21.978956223,53.174970213,62.535248254,59.08406504,26.743975273,52.833110766,44.571256075,45.29350861,30.327636423,59.292782127,44.398040948,54.510228938,48.639449278,24.172968526,17.603541353,17.862718998,35.296157867,17.787164557,55.820995749,20.687888627,48.561894285,41.42878167,12.353118638,12.153301469,19.138885527,11.346443873,12.322547359,11.911507732,51.125096175,18.878061934,48.100961206,39.584715012,24.617790624,15.310052313,30.939600044,17.737844129,46.461957417,0,0,0,0,0,0,0,0,0,0,0,0,4.1483941705,4
4.114702,910904,235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4841996976,4.2599414497,6.2776772924,2.8355284125,2.9348989946,3.11188332,0,0,0,0,0,0,15.61276509,17.630553085,15.557027359,21.281023036,54.862607783,67.231248387,66.910140986,35.324811291,26.872736545,40.697914705,40.041613663,27.976261605,57.251706218,39.159859662,54.475237386,47.21374275,25.34928294,21.322311248,22.743574662,40.212608204,15.206429477,62.441315935,20.379852486,44.461131745,38.26141303,11.909938107,11.690829884,19.088502248,11.446908348,11.022303186,11.596840666,47.926089811,18.688242375,47.77076909,37.772792634,23.025449156,16.172192998,32.790268613,30.24186184,51.646104565,0,13.912508959,0,0,0,18.957351748,0,32.869860708,1,0,18.665395626,18.665395626,3.2563585653,9
2.662888,910916,1046,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.84289,0,3.6754933686,4.7280537779,6.2641640142,3.3431028431,3.0018947379,3.2542808703,0,0,0,0,0,0,12.72899576,14.887523498,12.446545474,17.02659634,52.127286526,44.097459388,52.471379924,30.671385791,22.860337436,45.025281792,45.405439648,28.614676732,59.62380617,45.773674524,59.312491852,48.438898879,28.557219743,14.986195346,15.564040989,43.575605468,17.585329708,54.884731113,20.287291746,42.204064774,35.750173715,10.999130994,10.706813214,16.689089912,11.002938187,10.389489471,10.759157312,43.769223164,17.060518556,43.800771058,31.046620103,19.259343904,13.871008056,24.901154995,14.657374774,44.554732757,0,0,0,0,0,0,0,0,0,0,0,0,1.603408746,9
-2.838102,1298156,1060,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1726898047,3.3756016268,5.1073644864,6.1254210469,2.9865058222,3.0816122956,3.2560711254,0,0,0,0,0,0,12.661898592,14.7028283,12.020167563,18.121378425,60.954618391,61.096975145,54.764001028,33.111257418,21.367499684,35.263929779,41.993241525,29.907365256,53.50228688,34.712367636,50.538547428,50.07414439,28.39021887,17.924273717,17.615316462,43.301625462,19.769640938,54.225978857,22.652578092,46.335123217,40.973202554,12.665789882,12.638610922,17.619715407,12.850429048,12.600566121,11.842411046,49.527429856,21.404658555,38.455300346,30.652563601,23.799680301,12.607159913,26.612585552,16.715990584,46.255821598,0,0,0,0,0,0,0,0,0,0,0,0,-2.691669456,3
0.403943,909700,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8044006211,4.1959469686,4.275684889,3.1094241999,3.0877516724,3.1243831296,0,0,0,0,0,0,13.043139351,14.815342773,12.969983138,17.634120796,42.077497623,60.846258403,54.852802058,34.636933733,15.79714885,42.52049514,39.218690927,29.937788332,55.603623938,33.001981575,46.233189017,40.370627391,24.468774904,16.58203367,17.929229677,31.41755304,15.282618794,64.086593814,25.114222039,41.620965812,35.655248693,11.88727258,11.261475577,16.067517845,11.725989345,11.626987834,11.146728011,47.116738817,16.192679362,40.914197921,34.611735524,17.176803793,10.682490611,16.822968467,14.882259255,41.482953097,0,0,0,0,0,0,1,0,0,0,0,0,0.583603598,9
4.617009,910911,298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3.4392964477,0,0,0.83012,0,0,0,4.1074828237,4.6572398587,5.6363050409,2.8899305258,3.0917080726,3.4677489705,0,0,0,0,0,0,12.45269153,15.419353822,12.189728903,16.775694364,45.816331383,54.75470195,54.445832226,35.974066928,32.008003165,38.761710924,46.283271653,35.123296175,60.83914622,40.773572641,55.818337194,46.95151388,24.294715756,17.934929028,19.569173242,35.973826948,16.040349189,50.370065316,23.921268956,48.917838411,41.39739196,12.631112807,11.999110326,19.033038921,11.980268214,11.661617326,12.904076155,50.774405204,20.614843731,45.281576228,35.418649003,23.867625919,13.084015962,25.861799319,17.657209717,37.713414398,0,0,0,0,0,0,0,0,0,0,0,0,5.3980296626,7
2.326525,753531,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0.810932,0,0,0,0,0,0,0,0,0,2.9163801208,4.8533018766,6.5878173851,3.1158381075,3.3189522862,3.2666646175,0,0.654125,3.4933112453,1.5,0,0,11.577534537,14.435698684,11.233056744,16.936155527,42.962897797,43.683135173,50.120188111,26.602782714,45.683885969,56.74942087,52.03572103,38.557038497,70.177608879,49.86104768,66.235155114,58.522392844,31.294135316,12.37896872,18.662285746,40.404778231,19.199061814,44.896821095,20.646585205,45.474514035,34.431552109,11.15261187,10.208367744,17.389469037,11.012348229,11.344050077,10.715392505,44.84197307,16.872249379,44.235780205,31.879972337,22.797128037,11.566027821,22.776731356,13.603287175,56.691408682,0,0,0,0,0,0,0,0,0,0,0,0,2.3768266164,1
-2.432332,910701,1057,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4546420326,4.8144051485,6.4571060344,3.3077168837,3.3068624517,3.3123555258,0,0,0,0,0,0,12.467357958,15.277485335,11.44199955,16.30158093,37.079797615,46.215034852,53.543804518,26.613723434,36.573914489,47.98264518,49.354312234,30.585695096,66.782363974,46.034720747,56.814430442,44.955079658,26.938151316,12.274479709,15.82645835,33.241349683,18.528141893,59.7058552,22.551244952,53.07467281,40.957413368,13.207155634,13.700975976,21.476498828,12.302220867,12.44288253,13.345782178,51.210975802,19.84644393,45.309100135,31.434967642,24.969594351,14.347896622,29.89799527,17.971973134,34.941471379,0,0,0,0,0,0,0,0,0,0,0,0,-2.68118718,7
3.097159,1298529,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.790234,0,0.790234,0,0,0,6.0708519753,4.425016348,4.536027023,3.1011128975,3.0004625011,3.3388147689,0,0,0,0,0,0,14.413336055,17.399618275,13.653981916,24.293466568,57.958677159,78.875428736,71.135288257,32.812869695,15.022358781,34.742191373,38.974031943,22.0583546,53.142144166,33.624344686,41.454866607,40.951805032,22.342474315,20.679250019,20.333082153,21.195450898,18.316814022,85.436835941,26.954861307,55.809562263,47.314017837,14.273414021,12.747103495,20.458670032,15.311842784,15.014472752,14.531434317,54.723037603,20.225470252,30.765863968,26.645297696,16.908568405,37.152983536,35.560723162,23.77630722,28.998626009,0,10.00390193,0,0,0.6244697748,10.00390193,0,0,1,0,35.876805542,35.876805542,3.9788810364,3
3.283683,1240204,292,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2763781764,4.7310352059,6.0995894234,3.2194940934,3.1069043607,3.261944526,0,0,0,0,0,0,13.750437619,14.863375389,13.486426791,20.359694784,52.308592659,60.827679934,65.496843811,36.752357072,14.882185367,41.851831134,35.456192358,25.957896683,56.252172613,34.412738088,45.797809791,50.404295551,18.315536316,18.328887529,15.340417529,34.792102428,18.030260784,47.601351131,17.833075285,54.635072572,44.796609233,14.350324067,13.157738789,20.15488821,13.093428066,13.718690431,17.845732638,57.332292056,22.578575082,40.185355251,31.505390228,18.903998854,13.538749453,25.772891887,20.663196062,38.535267841,0,0,0,0,0,0,0,0,0,0,0,0,4.33693602,5
