IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_826,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_809,Fingerprint_803,Fingerprint_799,Fingerprint_797,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_698,Fingerprint_697,Fingerprint_686,Fingerprint_685,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_647,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_611,MOT_2D_linker_EXP,SDOM_subdomainI_CSV,EXP_FASTK,EXP_BTK,EXP_BTK_X_EXP_CD79A,EXP_MARK3_X_EXP_IQGAP1,EXP_MARK3_X_EXP_PPP2CB,EXP_MET_X_EXP_CBLC,EXP_MET_X_EXP_RAPGEF1,EXP_PTK6_X_EXP_CCND1,EXP_PTK6_X_EXP_PTPN1
4.370731,1290814,1032,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4.41705553993053,0,5.72915781975568,2.81075650760703,8.21603191464382,63.9775088572622,65.4925806762601,17.9301532689922,29.2116877442116,30.8228364620632,31.3894794301736
-1.195257,1240131,283,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
3.279568,908150,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
2.733822,907173,219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5.72887842402288,2.73606907977179,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,15.0810771679659,21.9304561791983,28.3742913351971
2.635456,1240138,1010,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.8489033845779,2.67103485524647,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,17.0082114720738,28.074886527518,32.2632622363165
3.310362,908152,1219,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
5.108447,1240136,1194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
1.863462,908150,177,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
0.923889,1240131,153,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
3.659239,1240141,1015,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
4.318878,908150,294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
3.565478,1290808,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.16208487131466,2.75359748527721,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,19.5313025442164,25.374180267657,26.5154518663694
1.270959,1240136,306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
5.068038,1240138,1129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.8489033845779,2.67103485524647,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,17.0082114720738,28.074886527518,32.2632622363165
2.374462,908470,1046,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6.03380544316773,2.85858856546691,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,30.8506252392194,27.2763622681056,22.8020246111316
-1.312796,1240139,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.628027,5.06601218927224,2.59423499831168,7.34333317965437,71.6598184117346,87.9481171150572,14.9736643131319,24.6232358366206,18.9888712276546,28.6378877402687
3.445241,908470,1025,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.03380544316773,2.85858856546691,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,30.8506252392194,27.2763622681056,22.8020246111316
3.133872,908152,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
2.062532,907173,63,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,5.72887842402288,2.73606907977179,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,15.0810771679659,21.9304561791983,28.3742913351971
5.637301,1290810,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7.81585292288992,0,6.26059033150539,2.88765711776581,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,27.5079759623072,22.9651919708354,31.2315231400946
-0.679694,908150,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
0.588898,1240131,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
2.137878,1240138,249,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8489033845779,2.67103485524647,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,17.0082114720738,28.074886527518,32.2632622363165
2.842929,908152,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
-0.113812,908152,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
6.046454,908150,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
3.464519,1240136,257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
3.348698,908150,262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
2.610253,1240138,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5.8489033845779,2.67103485524647,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,17.0082114720738,28.074886527518,32.2632622363165
4.679972,1240139,330,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0.628027,5.06601218927224,2.59423499831168,7.34333317965437,71.6598184117346,87.9481171150572,14.9736643131319,24.6232358366206,18.9888712276546,28.6378877402687
3.716047,1240141,1219,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
2.653104,907173,167,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.72887842402288,2.73606907977179,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,15.0810771679659,21.9304561791983,28.3742913351971
4.767026,908152,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
5.428862,908152,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
-1.903185,1290814,153,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,4.41705553993053,0,5.72915781975568,2.81075650760703,8.21603191464382,63.9775088572622,65.4925806762601,17.9301532689922,29.2116877442116,30.8228364620632,31.3894794301736
5.326188,1240131,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
4.113538,908150,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
4.475271,1240139,1203,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.628027,5.06601218927224,2.59423499831168,7.34333317965437,71.6598184117346,87.9481171150572,14.9736643131319,24.6232358366206,18.9888712276546,28.6378877402687
0.493349,1290813,1015,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.780554,5.20917918151551,2.70336677937281,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,14.2105719803042,20.6990082233709,23.419317957528
3.937151,1240141,255,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
2.475653,1290808,277,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.16208487131466,2.75359748527721,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,19.5313025442164,25.374180267657,26.5154518663694
5.933459,1240136,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
2.50948,908150,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
4.733267,1290808,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5.16208487131466,2.75359748527721,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,19.5313025442164,25.374180267657,26.5154518663694
3.838311,1290810,1143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7.81585292288992,0,6.26059033150539,2.88765711776581,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,27.5079759623072,22.9651919708354,31.2315231400946
3.603006,1240136,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
2.830313,908470,1013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,6.03380544316773,2.85858856546691,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,30.8506252392194,27.2763622681056,22.8020246111316
4.148951,1240141,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
2.752864,1240136,277,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6.69603164401217,2.84697005983739,8.32265480046952,65.9484608672225,79.2393759674248,14.9297781991725,25.3652767187618,25.9297247844962,29.4006859291265
2.794303,1240131,219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
2.368614,1290813,1030,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0.780554,5.20917918151551,2.70336677937281,7.75624165911008,79.9784787868165,86.5447344052806,10.2037075788388,14.2105719803042,20.6990082233709,23.419317957528
2.594395,1240135,277,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5.67470931796938,2.68139748842988,7.96248319086734,58.3732871199477,61.1738524525105,18.8470048461562,24.5855290651777,28.652618644821,28.9145545054676
3.699732,907173,1203,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.72887842402288,2.73606907977179,7.79045596579357,77.3795857157127,81.2103592509967,10.6708372735347,15.0810771679659,21.9304561791983,28.3742913351971
-2.904102,908152,1057,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
4.68566,908150,91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
2.25059,1240131,226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
3.530684,908470,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,6.03380544316773,2.85858856546691,8.30129783559348,56.9808713555309,62.9553310725632,22.6772247024525,30.8506252392194,27.2763622681056,22.8020246111316
4.533828,1240135,219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,5.67470931796938,2.68139748842988,7.96248319086734,58.3732871199477,61.1738524525105,18.8470048461562,24.5855290651777,28.652618644821,28.9145545054676
2.722973,1240141,167,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
-0.316699,1290808,1019,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.16208487131466,2.75359748527721,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,19.5313025442164,25.374180267657,26.5154518663694
2.200853,1240131,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
2.646036,908150,257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,5.11844147321487,2.83303254608064,8.23884351706306,61.5538234080144,78.2453249490721,13.711035484569,18.4863902442296,20.7765864257371,27.1819929543841
0.061244,1240138,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,5.8489033845779,2.67103485524647,7.87972037730476,73.1486907699062,68.1813115149419,11.7819107256692,17.0082114720738,28.074886527518,32.2632622363165
2.858405,1240141,1060,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,7.97565681193086,0,6.40317106187954,2.90427032362878,8.08740764021812,63.7639846752582,79.2409941313981,21.5241185205822,20.9910153277211,31.3192384404535,32.1755927293408
3.716523,1290814,1129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4.41705553993053,0,5.72915781975568,2.81075650760703,8.21603191464382,63.9775088572622,65.4925806762601,17.9301532689922,29.2116877442116,30.8228364620632,31.3894794301736
-1.581973,1290810,1057,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,7.81585292288992,0,6.26059033150539,2.88765711776581,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,27.5079759623072,22.9651919708354,31.2315231400946
4.597905,1240135,1373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.67470931796938,2.68139748842988,7.96248319086734,58.3732871199477,61.1738524525105,18.8470048461562,24.5855290651777,28.652618644821,28.9145545054676
3.04329,1290808,293,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5.16208487131466,2.75359748527721,7.53846443855012,64.5214955240012,80.7239395076947,14.3728414107479,19.5313025442164,25.374180267657,26.5154518663694
2.313904,1240131,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.45552688676828,2.78318852909427,8.46312522237765,60.1388547754118,69.1012605999409,16.9531954066307,26.0410273208821,26.6656941030282,30.3862618427594
5.477778,1290810,1043,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,7.81585292288992,0,6.26059033150539,2.88765711776581,8.54442534565946,63.0887368904115,73.8900494551553,15.2975005598161,27.5079759623072,22.9651919708354,31.2315231400946
4.763452,908152,260,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,5.34293210445795,2.68719481874946,8.22125452705499,62.9608183836146,73.2508223710013,19.610997219121,25.892290024213,26.3504021084922,28.1097192866988
