IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_152,PKA_152_ASA,PKA_152_B62,PKA_160_ENG,PKA_160_HYD,PKA_170,PKA_170_ASA,PKA_170_CSV,PKA_170_EXP,PKA_283_I_CSV,PKA_98,PKA_98_B62,PKA_98_ENG,PKA_98_POL,DOM_SH3_1,DOM_cNMP_binding_EXP,MUT_GUCY2D_EXP,MUT_MYLK,MUT_PAN3,MUT_RIPK4_EXP,REC_R_HSA_2730861_EXP,REC_R_HSA_74885,REC_R_HSA_74885_EXP,PWY_R_HSA_111465,PWY_R_HSA_8864260,PWY_R_HSA_8878171,GO_0008283,GO_0008584_EXP,GO_0009749,GO_0030900,GO_0034122,GO_0043491,GO_0048015_EXP,GO_0048170,GO_0048170_EXP,GO_0048666_CSV,GO_1990266,GO_1990266_EXP,SFAM_CDKL,SFAM_CDKL_EXP,EXP_STK25,EXP_MAP4K4,EXP_BRD3,EXP_MAP3K20,EXP_STK38,EXP_KSR2,EXP_ATM,EXP_NEK11,Predicted IC50,Validation
2.176794,910545,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6274358111,7.2938493871,5.1339115528,3.7017272162,6.7233171403,2.9143189421,6.3639998287,3.4905906813,2.3910415965,10
2.719367,910566,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9979501666,0,0,0,0,0,1,3.0562540584,5.7234849097,7.0632340275,6.0246258178,5.9834628879,7.8240760167,2.5428410121,6.2232882366,3.3204542884,2.532956378,8
2.776724,910688,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.5488563797,7.6335239351,5.2129120129,3.7641965596,6.1980836059,2.5320675994,6.2994784182,3.3136982092,2.9857115464,4
1.435513,910710,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.3594819556,7.9236497973,6.0376668066,6.3095677972,9.5607971857,2.7522622088,7.1916664317,3.3313170354,1.5159878468,6
1.842314,910947,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.749005494,7.277903054,5.8107779977,6.5986332834,7.0756361216,2.8530507039,6.3391357087,3.3012229874,1.8708719515,7
2.362012,1323913,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8752593504,7.0605752744,6.5279795611,6.8524299657,8.0980392699,2.6620800564,6.7343451709,3.2319938232,2.1862439314,2
2.42115,1327771,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7437177822,6.8866693654,6.0322048006,6.5392135977,6.8244777884,2.7450074062,5.28248997,3.4721811489,2.1569484844,5
2.278081,1330931,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.2142617876,0,0,0,1,17.300761462,0,0,0,0,0,1,2.9714218717,6.2480177872,7.0596091872,6.1539469403,6.3359393602,7.3063942346,2.8487727111,5.2824059137,3.5496228884,2.2623613596,1
3.663477,1330942,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.159065256,0,0,2,0,2,0,0,0,0,0,0,3.4904198758,0,0,0,0,0,1,3.03236922,5.0690873852,6.7294101885,4.8274158443,5.3478699959,7.177048043,2.704345735,5.899691721,3.5778448737,3.5175146902,6
1.144296,1330947,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,0.809237,2.7588761885,0.76633,0,0,0,0,0,2.9656856259,3.4508464004,0,0,0,0,1,3.4508464004,0,0,0,0,0,0,1,0,0,4.4235751388,0,0,0,0,0,0,0,5.8268178297,6.5965486442,5.708613064,5.8049340385,7.5047736329,3.095259831,6.0828974884,3.5898436767,1.8345640482,7
