IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,MUT_EIF2AK1,REC_R_HSA_450346,REC_R_HSA_450346_EXP,PWY_R_HSA_1852241_EXP,PWY_R_HSA_453279,GO_0007223,GO_0007399_CSV,GO_0016572,GO_0019933_EXP,GO_0030509_EXP,GO_0032147_CSV,GO_0050766_CSV,GO_0071560,SFAM_DYRK1_EXP,SFAM_RIPK_EXP,CLS_Histology_subtype_1_astrocytoma_Grade_III,EXP_CLK4,EXP_TRPM7,EXP_TBK1,EXP_MAPK1,EXP_GRK1,EXP_STRADB,EXP_MAP3K20,EXP_CAMK1,PKA_117_X_Fingerprint_696,PKA_134_ENG_X_Fingerprint_696,PKA_134_HYD_X_Fingerprint_644,PKA_134_VOL_X_Fingerprint_696,PKA_140_B62_X_Fingerprint_644,PKA_68_HYD_X_Fingerprint_698,PKA_77_ASA_X_Fingerprint_611,PKA_84_ASA_X_Fingerprint_812,PKA_84_POL_X_Fingerprint_812,EXP_DCLK2_X_EXP_ASF1B,EXP_EIF2AK3_X_EXP_PPP1CB,EXP_LCK_X_EXP_CD28,EXP_LCK_X_EXP_CD4,EXP_TBK1_X_EXP_IFIH1,REC_R_HSA_3928578_EXP_X_REC_R_HSA_6802932_EXP,PWY_R_HSA_162582_EXP_X_PWY_R_HSA_453274_EXP,PWY_R_HSA_3371571_EXP_X_PWY_R_HSA_983705_EXP,PWY_R_HSA_453279_EXP_X_PWY_R_HSA_76002_EXP,GO_0000165_EXP_X_GO_0016310_EXP,GO_0007050_X_GO_0043066,GO_0010628_X_GO_0045087,GO_0043123_X_GO_0048013,Predicted IC50,Validation
4.245594,1240168,1194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.861979,0,3.0697024187,0,0,0,0,0,0,0,3.8324190972,4.9133488655,7.731307752,5.8739467348,2.9787092679,3.5174974224,7.8383650964,4.2604291696,1,0,0,0,0,0,0,0,0,21.961457695,24.99290307,8.641627718,8.7789132919,38.689039387,0,0,0,0,0,0,0,0,3.1450093717,8
5.300498,1240169,230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2943031082,5.0971170882,8.44508366,6.000005161,2.9912327119,3.6732508673,6.3528705465,4.5713823997,0,0,0,0,0,0,0,0,0,19.231088572,19.271268453,8.2304192971,8.1412189943,35.352948684,0,150.47389451,0,0,0,2,1,0,5.2143516829,10
1.401041,946368,273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0915891149,0,0,0.696305,0,0,0,0,0,0,0,0,0,4.0095390564,4.4778692106,7.4312544911,5.7419292928,2.9543864016,4.3998688552,8.0498191988,5.0632794568,0,0,0,0,0,0,0,0,0,23.346620329,21.031834333,8.9335275302,8.8905052377,39.801265332,0,0,0,0,0,0,0,0,0.5810573094,4
-0.03531,687586,312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5149350659,5.3078565402,7.857592949,6.1681636972,3.1171416975,3.3545893108,8.0390842491,3.2468709341,0,0,0,0,0,0,0,0,0,21.677280656,21.857372426,8.7081029419,8.9449165928,37.715234625,0,0,0,0,0,0,0,0,0.1849708747,10
5.611425,910943,1373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72681,0,0,0,0,3.8483642562,4.7001114309,7.8004418666,6.0832370278,2.8869296733,3.9269541253,8.1174957148,4.8253287625,0,0,0,0,0,0,0,0,0,23.851933776,20.439007885,7.9009323488,8.0314786113,34.355326371,0,91.373689263,0,0,0,1,0,0,4.8189796567,1
5.501936,907042,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.725751083,0,0.694829,0,0,0,0,0,4.5069517279,5.4614284546,8.2181487824,5.5433968284,3.0136787317,2.9658047279,6.8935248478,3.0323644602,0,0,0,0,0,0,0,0,0,19.171533833,21.582907913,8.0517771033,8.6003582135,44.03004953,13.078526247,0,0,0,0,0,0,1,5.5571381379,10
2.974676,1240170,1194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8676681392,5.1494734231,7.8425859654,6.8723391847,2.9630120175,3.0230551315,8.5009386317,3.545869417,0,0,0,0,0,0,0,0,0,17.765881495,25.597087031,8.4399458526,8.4609394015,32.957652698,0,0,0,0,19.830366657,0,0,0,4.3234463516,9
4.67272,687568,1039,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3.1547359808,0.818245,0,0,0,0,0,4.7046616209,5.6015964486,7.8927871773,6.0508561743,2.8993864896,3.236506467,5.3569275336,3.2312998861,0,0,0,0,0,0,0,0,0,17.393316488,27.820818912,8.7738593924,8.8318622837,42.753601842,0,0,0,0,0,0,0,0,4.0542521544,2
-3.055262,683667,1057,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9391688669,4.9238680671,7.7058127065,5.9098681571,2.9877539198,3.9312367501,6.0922909556,4.241236059,0,0,0,0,0,0,0,0,0,20.190303908,25.535493936,8.77261101,8.5989262843,31.777048786,0,42.706340648,0,0,0,0,0,0,-2.944387966,7
3.980283,906873,249,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.805194,0,0,3.4878887706,0,4.3144692412,6.096351016,7.1694070997,5.5610419722,2.8846083986,3.3511229259,6.5742920155,4.4619076587,0,0,0,0,0,0,0,0,0,18.311952087,27.202713632,8.3888103807,8.4103287357,37.177382885,0,0,0,0,0,0,0,0,1.9190522617,1
2.570097,1240169,331,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2943031082,5.0971170882,8.44508366,6.000005161,2.9912327119,3.6732508673,6.3528705465,4.5713823997,0,0,0,0,0,0,0,0,0,19.231088572,19.271268453,8.2304192971,8.1412189943,35.352948684,0,150.47389451,0,0,0,2,1,0,2.36085645,1
4.629739,1240170,345,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8676681392,5.1494734231,7.8425859654,6.8723391847,2.9630120175,3.0230551315,8.5009386317,3.545869417,0,0,0,0,0,0,0,0,0,17.765881495,25.597087031,8.4399458526,8.4609394015,32.957652698,0,0,0,0,19.830366657,0,0,0,5.1638935171,8
3.080609,946369,295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.259165948,5.3549296399,8.1513875481,5.4343368474,3.0690658274,2.9570240254,6.3860487166,4.4639258371,0,0,0,0,0,0,0,0,0,15.493986681,22.085969835,8.8747657361,8.9389045382,35.793838688,0,0,0,0,0,0,0,0,2.9955734763,1
2.812675,908452,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,3.5457412729,0,0,0.666601,0,0,0,0,0,0,0,0,1,4.4993487387,4.9189899974,7.5756339912,5.9998077867,2.9131212887,3.5110666904,7.1027673478,3.6626675086,0,0,0,0,0,0,0,0,0,20.062543474,32.869492525,8.9728545112,8.8556230524,38.379785389,0,89.519632018,18.364533287,0,0,0,0,0,3.3358990002,8
2.373915,908450,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.712379,0,0,0,0,0,0,0,0,1,5.1292209704,5.8901845604,7.7419421927,6.5917998766,2.9783107685,3.954212381,7.5303543727,5.3552640353,0,0,0,0,0,0,0,0,0,21.044790683,24.637107585,8.5028663885,8.5983239234,36.107810818,0,0,0,0,0,0,0,0,3.008699773,4
4.024801,906746,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6138804633,5.5685187132,7.4284835426,6.2263931891,2.9178033849,4.347476504,7.4461542375,3.9420709252,0,0,0,0,0,0,0,0,0,12.357028788,25.222436751,8.1565860355,8.6408315772,40.762220863,0,0,0,0,0,0,0,0,2.7946263434,10
5.47632,906834,294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4.8547775112,0,0,0,0,0,0,0,4.1725229969,4.0926174687,5.952595921,6.1818302847,3.1346522585,3.3084127963,5.5254571555,3.8248986716,0,0,0,0,0,0,0,0,0,26.698995867,30.587191573,8.3947579271,8.4786316448,25.946942886,0,0,0,0,0,1,2,0,4.5222743514,5
6.152058,907279,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6754784608,5.1029549558,7.9541233814,6.4666952465,2.9427461556,3.5883796809,6.3851665058,4.5475040752,0,0,0,0,0,0,0,0,0,18.440965675,21.574165311,8.4504967589,8.3269139523,34.680934417,0,0,0,0,0,0,1,0,5.7626903795,4
1.489594,683667,1038,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9391688669,4.9238680671,7.7058127065,5.9098681571,2.9877539198,3.9312367501,6.0922909556,4.241236059,0,0,0,0,0,0,0,0,0,20.190303908,25.535493936,8.77261101,8.5989262843,31.777048786,0,42.706340648,0,0,0,0,0,0,2.2759573954,3
1.228447,908450,312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.712379,0,0,0,0,0,0,0,0,1,5.1292209704,5.8901845604,7.7419421927,6.5917998766,2.9783107685,3.954212381,7.5303543727,5.3552640353,0,0,0,0,0,0,0,0,0,21.044790683,24.637107585,8.5028663885,8.5983239234,36.107810818,0,0,0,0,0,0,0,0,0.6775677476,6
2.079572,910943,1161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72681,0,0,0,0,3.8483642562,4.7001114309,7.8004418666,6.0832370278,2.8869296733,3.9269541253,8.1174957148,4.8253287625,0,0,0,0,0,0,0,0,0,23.851933776,20.439007885,7.9009323488,8.0314786113,34.355326371,0,91.373689263,0,0,0,1,0,0,2.3331905318,1
6.325754,907279,230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6754784608,5.1029549558,7.9541233814,6.4666952465,2.9427461556,3.5883796809,6.3851665058,4.5475040752,0,0,0,0,0,0,0,0,0,18.440965675,21.574165311,8.4504967589,8.3269139523,34.680934417,0,0,0,0,0,0,1,0,5.2587407348,7
2.008926,683667,1046,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9391688669,4.9238680671,7.7058127065,5.9098681571,2.9877539198,3.9312367501,6.0922909556,4.241236059,0,0,0,0,0,0,0,0,0,20.190303908,25.535493936,8.77261101,8.5989262843,31.777048786,0,42.706340648,0,0,0,0,0,0,1.6902385633,6
2.200455,905985,277,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.147765024,5.1905944519,8.4467538527,6.0540738101,2.9623717279,3.2580997204,6.3736894604,3.1169051013,0,0,0,0,0,0,0,0,0,20.694061197,21.629676925,8.5908685978,8.8103670754,51.387067893,0,0,0,0,0,0,0,0,2.146556282,4
