IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
2.132592,1240212,178,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,8
2.183331,1298134,178,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,5
1.541723,687505,184,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,5
1.301051,687506,184,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,10
3.722018,724839,184,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,6
1.11098,906824,184,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,8
0.66737,906843,184,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
0.684106,907068,184,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
3.408223,930297,184,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,10
4.133335,930298,184,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,7
-1.734507,1240212,184,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,4
-0.227664,1298134,184,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,2
2.552072,687505,185,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,3
3.526167,687506,185,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,8
3.932033,724839,185,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,6
2.310162,906824,185,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,3
1.185144,906843,185,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,7
1.808537,907068,185,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,7
2.916571,930297,185,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,2
4.104985,930298,185,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,7
-0.03645,1240212,185,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,9
2.043614,1298134,185,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,6
3.003176,687505,192,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,9
3.128979,687506,192,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,3
4.804491,724839,192,0,46.246534785,32.952153584,15.868346125,12.638631606,3.3811292572,7
4.102468,906824,192,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,8
3.895354,906843,192,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,3
5.119153,907068,192,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
4.344903,930297,192,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,4
5.607513,930298,192,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,7
4.155313,1240212,192,0,53.078990442,35.290054041,11.791803995,13.040814464,2.8049043971,9
4.1333,1298134,192,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,10
5.011305,687505,193,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,1
5.63005,687506,193,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,6
5.692233,724839,193,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,10
4.445297,906824,193,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,9
5.205849,906843,193,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
5.660291,907068,193,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,2
5.963508,930297,193,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,3
6.361376,930298,193,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,1
5.456301,1240212,193,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,10
5.425444,1298134,193,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,7
2.597623,687505,199,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,2
