IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_785,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,MOT_2D_beta8strand,MUT_CDC42BPB,MUT_FGFR2_EXP,MUT_MAP3K9_EXP,MUT_NPR2,MUT_NPR2_EXP,MUT_ULK4,CNV_PTK2_gain,REC_R_HSA_176298_EXP,REC_R_HSA_380311_CSV,PWY_R_HSA_1250196_EXP,PWY_R_HSA_1266738_CSV,PWY_R_HSA_193648_CSV,PWY_R_HSA_373755,PWY_R_HSA_68877_CSV,PWY_R_HSA_73894_EXP,GO_0002053_EXP,GO_0007283_CSV,GO_0042060,GO_0043524,GO_0048813,GO_0050798,SFAM_TSSK,EXP_EPHB6,EXP_MAP3K12,EXP_PRKCG,EXP_PAK3,EXP_SIK2,EXP_PASK,EXP_IGF1R,EXP_WNK4,PKA_104_ENG_X_Fingerprint_818,PKA_104_VOL_X_Fingerprint_644,PKA_105_POL_X_Fingerprint_791,PKA_115_EXP_X_Fingerprint_643,PKA_115_HYD_X_Fingerprint_576,PKA_124_POL_X_Fingerprint_791,PKA_145_ASA_X_Fingerprint_696,PKA_145_EXP_X_Fingerprint_696,PKA_157_HYD_X_Fingerprint_696,PKA_162_HYD_X_Fingerprint_576,PKA_162_VOL_X_Fingerprint_576,PKA_192_ASA_X_Fingerprint_643,PKA_192_VOL_X_Fingerprint_643,PKA_240_POL_X_Fingerprint_576,EXP_GRK3_X_EXP_OR10H3,EXP_GRK3_X_EXP_OR52I1,EXP_GRK3_X_EXP_OR5M9,EXP_RIPK3_X_EXP_FADD,EXP_SYK_X_EXP_CLEC7A,EXP_SYK_X_EXP_STAT5A,EXP_SYK_X_EXP_TLN1,PWY_R_HSA_109606_EXP_X_PWY_R_HSA_418594_EXP,PWY_R_HSA_162906_X_PWY_R_HSA_69620,PWY_R_HSA_2187338_EXP_X_PWY_R_HSA_69273_EXP,GO_0006355_EXP_X_GO_0031397_EXP,GO_0007411_X_GO_0034446,GO_0009615_EXP_X_GO_0070373_EXP,GO_0018108_X_GO_0090002,GO_0030155_X_GO_1901796,GO_0043254_EXP_X_GO_0043406_EXP,Predicted IC50,Validation
3.666217,946359,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29754,0,0,0,3.5332953274,4.1577292737,0,1,1,1,0,0,4.0776189235,3.1851297775,3.3987970633,3.4189612907,4.1787118168,4.5830480231,5.0381075251,3.136024292,0,0,0,3.0425144615,0.65,0,0,0,0,0,0,0,0,-1.8,9.947698721,8.5400514976,9.4418107082,24.245172292,16.162280349,18.307423229,19.223673482,0,0,0,0,0,0,0,1,0,3.7553766006,2
3.694126,907047,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3344626692,3.1178521552,3.2022425586,3.0635048006,5.1716707266,4.4455062113,4.6810992017,2.8798409697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.371215635,12.44303597,11.366779428,24.918913094,16.756130134,32.201993719,20.241539181,0,0,0,0,0,0,0,0,0,4.0000170661,3
3.426965,908151,152,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3.2214327207,2.9426406728,3.3541533356,3.1014435663,4.3880125001,4.1483378576,3.4760114815,3.1867768347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.760065979,15.302616016,16.482860782,21.657687404,14.293288019,16.477274911,15.906606139,0,0,0,22.867464758,0,0,0,0,0,3.0576271813,3
3.258225,1298157,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.914430279,3.144626821,3.2092251494,3.0497134271,4.4151941244,4.0277297306,3.8976371934,4.1600577954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.992128455,10.771952797,10.767972176,22.553257314,9.8327124775,13.660534515,14.556485364,0,0,0,0,1,0,0,0,0,2.207345519,8
2.462382,908122,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0509201518,0,0,0,0,0,0,1,3.1942800368,3.1929792419,3.145263083,3.2305508519,4.2327432133,3.7493690985,3.3954630653,3.0729575264,-0.096,0,0,0,0,0,0,0,0,-1.42,-14.5,0,0,0,13.237284573,11.409284038,12.549858122,25.874108959,8.7051471259,11.426026258,14.243767775,0,1,0,0,0,0,0,0,0,2.4226617604,1
2.666223,906862,1023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7540713141,0.752333,0,1,0,5.1549449795,0,0,1,0,0,0,0,3.2220061363,3.0720914693,3.2486245769,3.3155984591,4.1194587757,4.7189066391,3.3844061235,3.2351098269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.019847216,12.129669764,13.420593025,21.608045354,17.371310825,18.746690772,15.515393572,0,3,0,0,0,0,1,1,0,1.866871852,6
3.046092,946359,291,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29754,0,0,0,3.5332953274,4.1577292737,0,1,1,1,0,0,4.0776189235,3.1851297775,3.3987970633,3.4189612907,4.1787118168,4.5830480231,5.0381075251,3.136024292,0,0,0,3.0425144615,0.65,0,0,0,0,0,0,0,0,-1.8,9.947698721,8.5400514976,9.4418107082,24.245172292,16.162280349,18.307423229,19.223673482,0,0,0,0,0,0,0,1,0,3.160029587,1
-0.774258,908121,1059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4631941541,0.841378,0,0,0,5.9221739941,0,0,0,0,0,0,0,3.7257575609,3.076681571,3.2529690537,3.1057240383,4.1819802353,4.3412523845,4.362304674,3.0345494516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.058177316,12.774842871,13.298867801,29.761103906,11.696654278,12.733326711,16.873111563,0,0,0,0,1,0,0,0,0,-0.736962548,7
4.912026,1290798,330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835172,0,0,0,0,0,2.7120864773,3.0576672189,3.2722484161,3.142165785,3.9978370316,3.9446703438,3.5385788296,2.9911911812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.335341061,8.8315335095,8.8719182713,25.435145598,15.445426043,18.429024832,22.593210002,0,0,0,0,0,0,0,0,0,4.2408748247,9
1.224974,909256,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.7438427469,0,0,0,0,0,0,0,1,0,0,0,1,4.9567786481,2.9840274988,3.2115009656,3.2404682811,4.173155721,4.958213665,3.3384038779,2.8704571751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25779386,15.536010483,16.734921873,22.042506029,21.866113676,22.914153555,24.721862872,0,1,0,50.581408328,1,24.492368045,2,0,0,0.5064751149,6
1.334602,908123,1023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7029860955,0,0,1,0,0,0,0,1,0,0,0,0,4.2761739693,2.7520846003,3.2513771133,3.1230917247,4.7992700098,5.0109685667,3.4132555184,2.917376701,0,0,0,0,0,0,0,0,0,0,0,-3.3,-27.5,0,14.07841532,11.317620608,12.281723445,24.490020264,20.302770927,31.389719107,40.369427076,0,0,0,0,0,0,0,0,0,2.0586944916,7
3.05349,910704,1219,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.8913235615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.6820151742,3.9937718218,3.1816753757,3.0178263398,3.6008379371,4.0121254222,3.6913048043,2.991257806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.182035847,8.8259959942,10.521310563,22.300814544,11.743634458,14.223584271,16.333787909,0,0,0,0,0,0,0,0,0,2.8860432532,9
3.268041,910704,1143,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8913235615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.6820151742,3.9937718218,3.1816753757,3.0178263398,3.6008379371,4.0121254222,3.6913048043,2.991257806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.182035847,8.8259959942,10.521310563,22.300814544,11.743634458,14.223584271,16.333787909,0,0,0,0,0,0,0,0,0,3.9669724475,5
3.659057,909778,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3595636552,0,1,0,0,0,0,3.1414368884,3.3675542792,3.5408128705,3.164356259,3.7978911982,4.4565740665,3.4087984895,2.985736403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.185355081,9.6490466138,9.9726440866,29.443844379,12.199731455,11.842735914,12.165864901,0,0,0,0,0,0,0,0,0,4.3740737819,7
4.451751,910927,1043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738597,0,0,0,6.4404733071,0,0,1,0,0,0,0,3.0437723503,4.0042123915,3.0986377163,2.9351703016,4.6542612685,3.9592798472,4.5321304628,3.0123183958,0,0,0,0,0,0,0,0,-0.73,0,0,0,0,0,11.094312295,9.197060562,10.249439825,20.758671481,7.9184351728,12.274208241,16.461001407,0,2,0,0,0,0,0,0,0,4.3596482101,9
2.947914,946359,1129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.29754,0,0,0,3.5332953274,4.1577292737,0,1,1,1,0,0,4.0776189235,3.1851297775,3.3987970633,3.4189612907,4.1787118168,4.5830480231,5.0381075251,3.136024292,0,0,0,3.0425144615,0.65,0,0,0,0,0,0,0,0,-1.8,9.947698721,8.5400514976,9.4418107082,24.245172292,16.162280349,18.307423229,19.223673482,0,0,0,0,0,0,0,1,0,2.339991277,6
1.130901,910948,235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.706277,1,1,0,0,0,5.9246733677,4.0908234016,3.247984012,3.1769013349,4.3184694508,4.6071314728,3.3234008093,3.1649797746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.973020081,11.394720435,10.77172347,21.237560287,9.7646594824,11.193849616,14.5527116,0,0,0,0,0,0,0,0,0,2.6049054047,9
3.738802,946359,1013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.29754,0,0,0,3.5332953274,4.1577292737,0,1,1,1,0,0,4.0776189235,3.1851297775,3.3987970633,3.4189612907,4.1787118168,4.5830480231,5.0381075251,3.136024292,0,0,0,3.0425144615,0.65,0,0,0,0,0,0,0,0,-1.8,9.947698721,8.5400514976,9.4418107082,24.245172292,16.162280349,18.307423229,19.223673482,0,0,0,0,0,0,0,1,0,3.3755224242,6
