IC50,Cancer,Drug,PWY_R_HSA_109582_X_PWY_R_HSA_1852241,EXP_IRAK3_X_EXP_TLR4,GO_0008283_X_GO_0030198,PKA_186_VOL,PKA_132_POL,GO_0035556,PWY_R_HSA_376176,GO_0007613_EXP,PWY_R_HSA_194315,DOM_PI3_PI4_kinase,GO_0090090,REC_R_HSA_1295634_EXP_X_REC_R_HSA_376141_EXP,PKA_225_VOL,REC_R_HSA_3225867_EXP,GO_0031663_EXP_X_GO_0048013_EXP,PKA_246_VOL,GO_0010575_EXP,PKA_122_B62,GO_0001503_X_GO_0043124,PKA_140_HYD,Fingerprint_635,PKA_268_ENG,REC_R_HSA_418850_EXP_X_REC_R_HSA_8847995_EXP,PWY_R_HSA_3700989_EXP_X_PWY_R_HSA_392499_EXP,PKA_228_POL,PKA_95_POL_X_Fingerprint_644,GO_0008283_EXP,GO_0000082,DOM_Focal_AT_EXP,REC_R_HSA_5140741_CSV,PWY_R_HSA_201681_X_PWY_R_HSA_373760,GO_0007163_EXP,PKA_95_EXP,SDOM_subdomainIII_EXP,MUT_GUCY2C_EXP,EXP_MAP2K7_X_EXP_HRAS,PWY_R_HSA_416476_X_PWY_R_HSA_5663202,Predicted IC50,Validation
6.232046,930298,152,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,5.1136035053,7
3.211405,1240212,152,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,3.0952220574,7
2.981017,1298134,152,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,3.052572299,4
0.169591,687505,153,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,8
-0.407902,687506,153,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,10
2.453796,724839,153,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,2
-0.056989,906824,153,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,6
-1.152498,906843,153,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,3
0.636741,907068,153,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,1
1.702869,930297,153,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,5
1.373537,930298,153,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,2
-0.958794,1240212,153,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,8
-0.504954,1298134,153,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,9
0.847503,687505,155,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,10
2.028872,687506,155,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,7
2.465655,724839,155,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,1
-0.861802,906824,155,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,0.3771823386,6
-0.466301,906843,155,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,4
1.934443,907068,155,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,1
2.029619,930297,155,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,10
2.197377,930298,155,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,2
1.789628,1240212,155,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,8
0.269824,1298134,155,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,8
-1.373129,687505,157,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,10
-0.899222,687506,157,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,7
0.489158,724839,157,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,2
-0.479524,906824,157,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,2
-1.620956,906843,157,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,10
-1.272292,907068,157,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,4
0.289694,930297,157,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,5
1.097452,930298,157,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,5
-0.785506,1240212,157,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,7
-0.841781,1298134,157,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,2
0.658598,687505,158,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,6
1.252531,687506,158,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,5
3.347998,724839,158,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,5
2.171729,906824,158,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,4
0.959568,907068,158,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,9
3.687823,930297,158,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,8
2.559722,930298,158,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,6
0.898069,1240212,158,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,3
1.879747,1298134,158,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,8
-0.44278,687505,159,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,5
2.972042,687506,159,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,2
3.058838,724839,159,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,3
-0.738579,906824,159,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,6
-0.497923,906843,159,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,8
1.250975,930297,159,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,8
2.474396,930298,159,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,4
1.437116,1240212,159,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,4
0.755309,1298134,159,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,1
1.274886,687505,167,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,9
2.124014,687506,167,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,6
1.513059,724839,167,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,4
1.979126,906824,167,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,0.3771823386,2
0.815804,906843,167,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,6
2.204883,907068,167,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,6
5.97431,930297,167,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,6
2.977512,930298,167,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,8
1.800241,1240212,167,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,4
0.963728,1298134,167,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,4
5.744272,687505,176,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,1
5.075152,687506,176,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,3
5.92998,724839,176,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,1
6.242398,906824,176,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,6
2.130299,906843,176,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,3
4.363229,907068,176,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,2
6.714816,930297,176,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,1
6.931905,930298,176,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,2
5.592379,1240212,176,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,3
3.437151,1298134,176,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,6
1.67813,687505,177,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,3
1.345497,687506,177,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,1
5.333935,724839,177,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,5
2.825075,906824,177,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,6
2.340457,906843,177,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,7
3.298554,907068,177,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,3
6.007434,930297,177,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,10
5.328039,930298,177,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,4
1.708434,1240212,177,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,4
1.553463,1298134,177,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,8
0.427361,687505,178,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,0,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,1.9669789554,9
2.515127,687506,178,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.0637142471,6
3.961515,724839,178,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,0,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,3.5268926657,9
1.613414,906824,178,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.8732918182,7
0.132745,906843,178,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,2.4828165266,7
3.059804,907068,178,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,2.7684040239,2
4.493201,930297,178,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.0084121096,1
4.049449,930298,178,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,4.2449861653,4
2.132592,1240212,178,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,2.4744445828,8
2.183331,1298134,178,0,13.087241445,0,0,0,0,0,0,1,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.730168826,1,2.6437193193,5
1.541723,687505,184,10,9.4707893684,3,0,3.4,18,1,4.7928273134,4,2,1,23.070935234,145.5,9.9839608767,67.45792249,0,3.1749010629,0,4,0,1,0,0,360.00024826,0,0,5.9400045195,1,0,0,3,7.2962345793,0,8.6737762033,2.8173774366,36.858849599,9,2.8011145973,5
1.301051,687506,184,0,10.709245039,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.823582,0,0,0,0,0,27.246678867,0,3.7054949639,1
3.722018,724839,184,0,12.490201956,3,0,0,8,0,0,5,0,1,0,0,4.3973425789,76.194804798,0,0,0,0,0.95,1,1.861,0,194.8302848,0,0,16.603943206,2,0,0,0,0,0,0,0,30.895445531,2,4.0573196823,6
1.11098,906824,184,0,8.7712696344,0,0,0,1,0,3.6917611728,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5,0,0,0,0.80412,0,0,6.3906244072,6.3906244072,0,40.426600697,0,1.2406535088,8
0.66737,906843,184,0,8.5047118595,0,0,0,3,0,5.0255625398,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.120250654,0,3.1747878415,9
0.684106,907068,184,1,11.065754842,0,0,0,5,0,0,3,0,0,0,0,7.0950055525,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38.794659261,0,3.1043274022,2
3.408223,930297,184,0,15.114111377,0,105,0,4,0,6.2011274703,2,0,0,0,0,0,0,0,5.0007839121,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.901269342,2,4.5093522309,1
4.133335,930298,184,0,12.546661933,0,0,0,3,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,25.056566615,22.898297815,2.9,0,0,1,7.1213706154,0,0,0,0,3.7047223158,0,27.347832765,0,5.1136035053,7
-1.734507,1240212,184,1,9.4915519578,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32449396,0,3.0952220574,4
