IC50,Cancer,Drug,SDOM_subdomainXI_EXP,PWY_R_HSA_2029480,PWY_R_HSA_449147,GO_0038083,FAM_Other_CSV,EXP_TRIM66,EXP_STKLD1,Predicted IC50,Validation
3.958135,1240208,152,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,7
3.919718,1240218,152,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,2
1.395929,1240219,152,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,6
2.894831,1290797,152,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,7
4.356036,1298141,152,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,1
0.359843,1298216,152,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,7
1.961785,1298219,152,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,1
3.732796,1298475,152,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,5
5.164617,1298476,152,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,7
2.610092,1298526,152,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,6
3.794483,1298533,152,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,10
4.483012,1298534,152,0,1,2,0,0,3.4406784816,3.178145687,3.7859680667,6
2.418487,724869,153,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,3
1.532442,724870,153,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,10
0.17634,753624,153,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,6
-0.61915,906693,153,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,4
-0.463931,906821,153,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,9
0.694082,907285,153,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,7
1.568339,907286,153,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,3
2.423635,909904,153,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,6
1.291473,910546,153,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
0.659437,910907,153,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,8
1.049039,925347,153,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,10
-0.888168,925348,153,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,6
0.159313,1240201,153,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,10
-1.525489,1240208,153,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,10
0.916356,1240218,153,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,10
-0.130055,1240219,153,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,2
0.55713,1290797,153,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,6
-0.107003,1298141,153,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,1
-0.923932,1298216,153,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,3
-0.558643,1298219,153,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,9
1.442649,1298475,153,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,8
2.199217,1298476,153,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,1
0.738694,1298526,153,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,3
-0.278115,1298533,153,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,8
-1.011366,724869,155,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,6
-0.826657,724870,155,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,6
0.992284,753624,155,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,9
-1.242885,906693,155,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,7
-0.169196,906821,155,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,7
2.187063,907285,155,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,8
2.023452,907286,155,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,8
2.57416,909904,155,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,1
1.346698,910546,155,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
1.268318,910907,155,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,7
0.184478,925347,155,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,4
2.242817,925348,155,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,7
-0.232064,1240201,155,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,1
1.795325,1240208,155,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,2
2.37368,1240218,155,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,2
-0.817924,1240219,155,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,5
1.595007,1290797,155,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,5
1.181651,1298141,155,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,1
0.450171,1298216,155,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,3
0.064024,1298219,155,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,10
1.990123,1298475,155,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,2
3.126521,1298476,155,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,9
2.357598,1298526,155,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,7
1.87998,1298533,155,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,5
-0.442679,724869,157,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,6
-0.422999,724870,157,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,1
-0.894568,753624,157,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,8
-1.061829,906693,157,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,1
-0.529464,906821,157,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,2
0.308037,907285,157,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,4
1.094416,907286,157,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,2
0.186459,909904,157,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,3
0.677162,910546,157,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
-0.052875,910907,157,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,3
-2.263545,925347,157,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,1
-0.601845,925348,157,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,10
-0.422598,1240201,157,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,7
0.1398,1240208,157,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,5
-0.596514,1240218,157,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,1
-0.249473,1240219,157,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,6
1.065137,1290797,157,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,2
0.954573,1298141,157,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,5
-0.420873,1298216,157,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,4
-0.483832,1298219,157,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,3
-0.189971,1298475,157,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,3
0.205726,1298476,157,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,9
-0.175093,1298526,157,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,4
-0.395214,1298533,157,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,5
4.131019,724869,158,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,1
1.555385,724870,158,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,4
2.348695,753624,158,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,3
0.906834,906693,158,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,1
1.328316,906821,158,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,7
2.203872,907285,158,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,2
1.919311,907286,158,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,9
1.884534,909904,158,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,10
1.975353,910546,158,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
2.025207,910907,158,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,4
1.556775,925347,158,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,9
2.232423,925348,158,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,2
1.546525,1240201,158,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,2
1.071093,1240208,158,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,5
2.231727,1240218,158,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,7
1.598765,1240219,158,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,1
2.578377,1290797,158,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,3
3.679053,1298141,158,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,9
1.180578,1298216,158,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,7
2.82502,1298219,158,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,6
2.33583,1298475,158,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,2
3.021129,1298476,158,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,9
1.743872,1298526,158,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,3
2.671716,1298533,158,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,10
1.174024,724869,159,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,8
-0.875399,724870,159,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,10
1.070114,753624,159,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,6
-0.417787,906693,159,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,10
0.208068,906821,159,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,5
2.840385,907285,159,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,10
1.85481,907286,159,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,6
1.473991,909904,159,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,6
2.419923,910546,159,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
1.788771,910907,159,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,6
0.347382,925347,159,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,4
1.341688,925348,159,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,10
-0.116453,1240201,159,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,1
1.538042,1240208,159,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,5
1.949893,1240218,159,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,10
-0.541294,1240219,159,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,4
3.930251,1290797,159,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,7
2.1849,1298141,159,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,9
1.530057,1298216,159,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,5
0.412693,1298219,159,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,7
1.556535,1298475,159,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,1
2.506117,1298476,159,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,6
1.088462,1298526,159,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,8
3.663078,1298533,159,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,10
2.764511,724869,167,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,3
1.380981,724870,167,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,9
2.525726,753624,167,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,7
1.370193,906693,167,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,4
1.474742,906821,167,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,9
2.461562,907285,167,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,10
0.921754,907286,167,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,5
4.531763,909904,167,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,6
0.025074,910546,167,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,10
1.210692,910907,167,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,2
6.079058,925347,167,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,1
1.942355,925348,167,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,3
0.854613,1240201,167,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,1
1.575968,1240208,167,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,6
2.147358,1240218,167,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,7
1.042324,1240219,167,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,1
4.997089,1290797,167,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,6
2.114538,1298141,167,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,10
0.976732,1298216,167,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,1
2.571755,1298219,167,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,8
2.634942,1298475,167,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,8
2.499539,1298476,167,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,5
1.321786,1298526,167,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,5
2.367906,1298533,167,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,8
6.690934,724869,176,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,7
2.974986,724870,176,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,8
5.70992,753624,176,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,3
3.881923,906693,176,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,1
6.128245,906821,176,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,5
5.32092,907285,176,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,3
3.52717,907286,176,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,6
6.854042,909904,176,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,8
1.852514,910546,176,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,2
3.28344,910907,176,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,4
6.723092,925347,176,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,2
3.41584,925348,176,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,8
2.510061,1240201,176,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,5
5.156374,1240208,176,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,2
6.166854,1240218,176,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,5
6.046453,1240219,176,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,1
5.223388,1290797,176,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,5
5.1184,1298141,176,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,7
2.414107,1298216,176,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,8
6.023332,1298219,176,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,2
4.497054,1298475,176,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,2
6.423125,1298476,176,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,2
6.476352,1298526,176,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,1
5.868776,1298533,176,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,6
5.80085,724869,177,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,3
1.261847,724870,177,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,8
3.648219,753624,177,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,7
2.782507,906693,177,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,7
1.714212,906821,177,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,6
4.232745,907285,177,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,7
0.951059,907286,177,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,6
6.153446,909904,177,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,2
0.404606,910546,177,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,5
2.659414,910907,177,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,7
6.132144,925347,177,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,4
2.224194,925348,177,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,4
0.477236,1240201,177,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,7
2.817965,1240208,177,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,5
2.220239,1240218,177,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,3
2.128019,1240219,177,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,1
5.062084,1290797,177,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,5
5.691137,1298141,177,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,7
2.426467,1298216,177,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,8
3.952562,1298219,177,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,5
5.394188,1298475,177,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,6
2.757145,1298476,177,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,2
3.182263,1298526,177,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,10
4.501292,1298533,177,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,5
3.931944,724869,178,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,8
1.880225,724870,178,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,2
1.425469,753624,178,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,1
0.688951,906693,178,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,9
2.060515,906821,178,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,1
2.984719,907285,178,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,2
1.878808,907286,178,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,7
4.925938,909904,178,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,3
-0.015247,910546,178,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,5
2.454364,910907,178,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,4
2.274722,925347,178,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,5
1.159915,925348,178,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,3
1.607492,1240201,178,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,7
3.242651,1240208,178,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,6
3.579123,1240218,178,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,9
2.214553,1240219,178,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,6
4.376532,1290797,178,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,10
3.353095,1298141,178,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,8
1.420698,1298216,178,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,1
2.190832,1298219,178,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,7
3.200199,1298475,178,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,5
3.025159,1298476,178,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,5
3.475493,1298526,178,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,1
3.424448,1298533,178,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,5
0.632016,724869,184,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,6
-1.555998,724870,184,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,9
0.01994,753624,184,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,1
-0.059432,906693,184,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,2
0.627924,906821,184,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,1
0.139528,907285,184,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,7
0.704216,907286,184,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,10
1.697717,909904,184,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,1
-1.429464,910546,184,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,5
2.645539,910907,184,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,10
-4.405464,925347,184,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,9
-1.281222,925348,184,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,2
0.847694,1240201,184,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,7
0.128064,1240208,184,3.1476922709,0,0,0,0,5.2612515465,3.368842601,3.0034920404,2
1.881481,1240218,184,0,0,0,0,0,3.6125235,3.3042220484,3.3181962195,3
-1.033603,1240219,184,3.6020540139,0,0,0,0,4.8573442551,3.249145633,1.9855345945,2
0.998392,1290797,184,3.3840040192,0,1,0,0,4.4573437692,3.0737603195,2.7987812418,9
4.258294,1298141,184,0,1,1,2,0,4.3032271874,3.2694515074,3.9101227127,4
0.060655,1298216,184,0,0,0,0,0,5.4289218151,3.2517140881,2.2508302412,8
0.12215,1298219,184,0,0,1,0,0,4.8591774511,3.1288405274,2.726811046,3
0.196062,1298475,184,0,0,0,1,0.809149,4.9436292057,3.0561182125,2.4732839921,1
0.950661,1298476,184,0,1,1,1,0,3.5960792667,3.2984018808,3.8810288144,9
-0.695968,1298526,184,3.3388858262,0,1,1,0,4.2654451485,3.2538821083,2.5345681148,3
1.381905,1298533,184,0,0,1,0,0,5.2787065415,3.3004300842,3.0020311065,1
1.122632,724869,185,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,10
0.643084,724870,185,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,2
1.269886,753624,185,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,10
2.585594,906693,185,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,10
2.799811,906821,185,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,3
2.017106,907285,185,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,2
