IC50,Cancer,Drug,EXP_STK10,EXP_PLK3,EXP_PRKCG,EXP_SGK2,EXP_CLK4,Predicted IC50,Validation
1.641069,906864,157,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,10
-2.357692,910568,157,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
-0.521816,924102,157,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,4
-0.797134,924104,157,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,6
-0.039872,924151,157,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,4
-0.437516,924238,157,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
0.480145,930299,157,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,4
-2.090715,1240154,157,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,8
-1.223098,1240178,157,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,1
-1.544707,1240223,157,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,4
-0.379609,1290722,157,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,5
0.858883,906696,158,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,3
0.044077,906795,158,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,5
3.404831,906864,158,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,4
0.577491,910568,158,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,1
1.216631,924102,158,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,2
0.009875,924104,158,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,9
1.258879,924151,158,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,1
1.789383,924238,158,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,6
4.280452,930299,158,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,8
0.667252,1240154,158,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,5
0.801922,1240178,158,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,9
0.340176,1240223,158,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,8
0.729993,1290722,158,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,5
2.036244,906696,159,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,3
-0.925467,906795,159,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,7
3.248477,906864,159,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,3
-3.924784,910568,159,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,5
0.609788,924102,159,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,5
-1.127989,924104,159,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,10
-0.405024,924151,159,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,9
0.374219,924238,159,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,10
2.088359,930299,159,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,10
-0.700506,1240154,159,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,8
-0.955998,1240178,159,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,6
-2.033541,1240223,159,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,10
1.975976,1290722,159,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,9
2.426476,906696,167,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,4
0.981749,906795,167,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,7
3.375858,906864,167,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,6
1.405113,910568,167,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
0.556005,924102,167,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,7
1.658597,924104,167,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,8
1.983981,924151,167,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,7
2.222778,924238,167,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,4
3.281021,930299,167,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,6
-0.34405,1240154,167,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,10
1.053879,1240178,167,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,9
-0.177722,1240223,167,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,7
1.08831,1290722,167,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,2
4.088939,906696,176,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,10
2.073599,906795,176,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,6
6.089907,906864,176,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,6
5.971107,910568,176,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,7
2.315273,924102,176,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,2
3.27382,924104,176,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,1
3.412813,924151,176,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,2
5.912437,924238,176,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,2
7.221142,930299,176,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,1
0.910879,1240154,176,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,10
2.061466,1240178,176,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,8
2.257694,1240223,176,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,7
1.782684,1290722,176,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,1
2.959878,906696,177,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,9
4.131215,906795,177,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,10
5.551548,906864,177,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,3
0.665899,910568,177,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,10
1.862023,924102,177,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,9
1.688507,924104,177,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,3
2.317606,924151,177,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,5
3.175977,924238,177,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,2
5.020146,930299,177,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,4
1.333983,1240154,177,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,5
2.471972,1240178,177,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,2
1.663598,1240223,177,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,9
0.639265,1290722,177,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,3
3.58207,906696,178,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,7
0.959428,906795,178,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,3
3.699933,906864,178,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,6
0.968587,910568,178,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,1
0.648248,924102,178,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,2
1.002259,924104,178,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,2
2.591875,924151,178,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,9
1.449654,924238,178,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,5
4.185174,930299,178,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,9
-0.667619,1240154,178,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,8
1.737911,1240178,178,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,5
-0.073019,1240223,178,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,2
-0.205326,1290722,178,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,1
0.701849,906696,184,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,4
-0.626923,906795,184,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,2
1.798063,906864,184,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,1
1.785791,910568,184,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,9
0.153608,924102,184,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,7
-0.050573,924104,184,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,7
0.517341,924151,184,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,5
0.09455,924238,184,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,8
3.769653,930299,184,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,10
0.33658,1240154,184,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,2
-0.026145,1240178,184,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,5
-1.65574,1240223,184,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,5
0.383337,1290722,184,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,7
1.70526,906696,185,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,9
1.562848,906795,185,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,1
2.486998,906864,185,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,7
3.471646,910568,185,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
2.318494,924102,185,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,7
1.96952,924104,185,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,10
2.823885,924151,185,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,6
2.049813,924238,185,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,7
4.557072,930299,185,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,3
2.253877,1240154,185,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,9
2.014074,1240178,185,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,2
0.815897,1240223,185,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,1
1.596413,1290722,185,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,6
4.101015,906696,192,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,4
5.372781,906795,192,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,1
5.432866,906864,192,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,6
4.417015,910568,192,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,3
4.081717,924102,192,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,3
3.457362,924104,192,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,9
4.50355,924151,192,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,4
4.520923,924238,192,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,6
6.159733,930299,192,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,9
3.799533,1240154,192,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,8
3.146256,1240178,192,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,3
4.185107,1240223,192,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,2
2.712243,1290722,192,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,9
5.424209,906696,193,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,3
6.135845,906795,193,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,8
5.553253,906864,193,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,1
5.333885,910568,193,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
5.617692,924102,193,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,10
4.680035,924104,193,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,2
5.320115,924151,193,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,7
5.254073,924238,193,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
6.331755,930299,193,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,5
4.146678,1240154,193,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,2
5.790638,1240178,193,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,10
5.505637,1240223,193,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,8
5.715313,1290722,193,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,1
4.098972,906696,199,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,8
3.575702,906795,199,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,6
3.24953,906864,199,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,10
-2.310416,910568,199,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,5
3.439877,924102,199,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,3
2.506029,924104,199,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,3
4.135451,924151,199,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,1
3.866794,924238,199,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,3
2.672624,930299,199,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,10
2.427633,1240154,199,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,5
0.231048,1240178,199,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,1
0.97829,1240223,199,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,6
2.1014,1290722,199,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,3
1.663007,906696,202,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,1
1.397241,906795,202,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,7
1.881008,906864,202,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,3
2.468041,910568,202,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,8
1.507314,924102,202,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,10
2.016688,924104,202,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,8
2.463012,924151,202,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,6
