IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,SDOM_subdomainXI_EXP,REC_R_HSA_399930_EXP,PWY_R_HSA_112314,PWY_R_HSA_2029480,PWY_R_HSA_449147,PWY_R_HSA_450321_EXP,PWY_R_HSA_983231,PWY_R_HSA_983231_EXP,GO_0006357_EXP,GO_0008360,GO_0032436_EXP,GO_0046328,FAM_Other_CSV,EXP_KDR,EXP_LIMK2,EXP_STKLD1,EXP_OXSR1,EXP_MAP3K9,EXP_TAF1,EXP_GRK4,EXP_STK26,Predicted IC50,Validation
3.385524,724869,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77894,3.4188984813,3.9276919402,3.4442239813,6.6038674486,3.4884425069,5.1209499399,3.0948282931,6.2161219007,2.7231036906,8
5.391663,724870,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4641377689,3.9364702059,3.3027841123,5.8604673259,3.302182128,5.141777393,3.3627415193,5.8865455397,5.0048773332,5
2.848449,753624,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,4.3159013454,0,0,0,2,3.7175060247,0,0,0,0,0,0,0,3.3124960657,4.437932547,2.9977596208,7.4797066252,3.2987963916,4.3631181124,3.1565327305,5.0429715482,3.3711433326,7
2.560153,906693,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,5.1922815341,0,1,0,0,0,0,0,0,0,0,0,0,3.4340691922,5.4549856237,3.0569909019,6.5165546587,3.5214045208,4.9260759894,3.427571383,6.715230579,2.2864277267,1
3.163243,906821,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.1540678881,0,0,3.5610383749,3.9584736396,3.0183267077,5.5977736944,3.4244205928,4.7998473864,3.3045960457,5.5889261648,3.9128911181,9
2.620787,907285,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,3.1820402799,0,0,0,1,0,0,0,0,0,0,0,0,3.5417575401,3.9417313882,3.2069147596,7.2466245542,3.8739439581,5.2031933081,3.4360620878,5.9083525488,2.4818962474,1
1.267203,907286,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,5.0425070605,0,0,0,0,0,0,0,0,0,3.294413211,0,0,3.3101162575,4.4038893868,3.1685019517,7.6287513518,3.2304747565,5.936757509,3.361816579,6.6346571562,1.3016462603,3
3.645215,909904,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,6.2451256178,0,0,0,0,0,0,0,3.0614673481,4.5129089592,3.4068077975,5.7171866014,3.5166865129,4.7472332004,3.2347445359,5.6579479379,5.1417483908,3
1.197593,910546,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,0.6591970096,2
5.289386,910907,152,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,4.2226961463,0,0,0,0,0,3.3294075506,5.505571235,3.3776403327,6.6586892893,3.4130183685,4.4580741255,3.2420862819,5.0657853085,5.0265988694,6
