IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_679,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,PKA_126,PKA_126_B62,PKA_126_ENG,PKA_98,PKA_98_CSV,DOM_POLO_box_EXP,DOM_START_EXP,MUT_MYO3A_CSV,MUT_RPS6KB2_EXP,CNV_BTK_loss,CNV_CDK12_gain,CNV_CDK14_gain,CNV_MAP2K1_gain,REC_R_HSA_1839094,REC_R_HSA_202248_CSV,PWY_R_HSA_1257604,GO_0000165_CSV,GO_0007399_CSV,GO_0016572_EXP,GO_0043011_CSV,GO_0046777_CSV,GO_0048675,GO_0048813_EXP,SFAM_BRD,CLS_gender_f,EXP_FAM198A,EXP_ABL1,EXP_TAF1,EXP_DAPK1,EXP_PSKH2,EXP_MET,Predicted IC50,Validation
0.545129,908446,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,0.2214388592,9
3.316042,909697,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,3.3612744106,1
3.55016,909711,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2257321006,4.9530467888,4.4596434957,6.0545000364,3.2938599023,4.8967837502,0.2481210885,10
0.79734,1322224,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,1.2718345856,6
3.569257,906869,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,3.4234628594,8
2.269952,908444,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,2.5800023329,10
-2.940466,908445,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,-2.470307682,4
2.67612,908446,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,2.3570410477,6
3.66487,909697,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,3.3745695246,7
2.839489,1322224,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,3.0316700429,4
3.158164,906869,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,3.3428812557,1
-0.79915,908444,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,0.2456966826,8
1.088489,908445,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,1.6615166761,1
1.904561,908446,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,2.1283894273,3
2.421265,909697,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,1.5886315038,2
4.456771,909711,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2257321006,4.9530467888,4.4596434957,6.0545000364,3.2938599023,4.8967837502,5.3475656992,4
2.082291,1322224,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,4.0179843095,7
1.948574,906869,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,2.0046613681,1
0.749065,908444,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,1.7742078976,5
3.024171,908445,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,2.6799040074,7
1.623893,908446,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,1.5546468653,2
2.045652,909697,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,2.0815637851,7
2.849876,909711,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2257321006,4.9530467888,4.4596434957,6.0545000364,3.2938599023,4.8967837502,2.078701235,9
0.779511,1322224,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,1.4932993306,9
1.182585,906869,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,0.9136491758,3
3.302444,908444,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,1.8498572883,9
2.684513,908445,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,1.7002347038,3
-0.6732,908446,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,-0.061304988,6
0.495466,909697,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,1.8900307764,7
3.32992,909711,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2257321006,4.9530467888,4.4596434957,6.0545000364,3.2938599023,4.8967837502,2.9235569551,4
0.035472,1322224,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,-0.175741447,9
3.56014,906869,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,4.3502991081,8
1.856657,908444,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,2.2649303038,1
3.428984,908445,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,4.1275087523,9
2.958168,908446,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,3.7303967817,4
3.34702,909697,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,3.6659204505,7
2.536705,1322224,34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,1.3340186946,9
-0.274216,906869,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,0.0758173719,10
0.273498,908444,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,1.6123662971,1
3.055906,908445,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,3.6771671557,7
-0.339982,908446,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,-0.491995457,8
1.486507,909697,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,0.9202757758,3
-0.941558,1322224,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,-0.342078862,2
2.684424,906869,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,1.3787795032,10
1.538844,908444,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,1.5849550849,6
