IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_141,PKA_145_CHA,PKA_145_HYD,PKA_158_K,PKA_162,PKA_224_B62,MOT_2D_beta7strand,MOT_2D_beta7strand_EXP,DOM_C2,DOM_EphA2_TM,MUT_AATK_EXP,MUT_ALK,MUT_ANKK1_CSV,MUT_CASK,MUT_CDK13_EXP,MUT_DCLK3_EXP,MUT_EPHA8,MUT_KIT,MUT_PAK5_EXP,MUT_PSKH2_CSV,MUT_SGK1,MUT_SGK1_EXP,MUT_STK32C,MUT_TIE1,CNV_GUCY2C_gain,CNV_PAK1_gain,REC_R_HSA_1181155,REC_R_HSA_1433418_CSV,REC_R_HSA_166082,REC_R_HSA_429698,REC_R_HSA_6800434,PWY_R_HSA_1500931,PWY_R_HSA_164944,PWY_R_HSA_212436_CSV,PWY_R_HSA_3000171_EXP,PWY_R_HSA_391160,PWY_R_HSA_4086400_CSV,PWY_R_HSA_418594_CSV,PWY_R_HSA_6798695,PWY_R_HSA_6798695_EXP,PWY_R_HSA_8953854_CSV,GO_0001570,GO_0001890,GO_0007275_EXP,GO_0007286_CSV,GO_0007399_CSV,GO_0009725,GO_0016321,GO_0016321_EXP,GO_0017148_EXP,GO_0021766_EXP,GO_0021987,GO_0030097_CSV,GO_0030097_EXP,GO_0030968_EXP,GO_0035924_CSV,GO_0038128_EXP,GO_0042490,GO_0042490_EXP,GO_0042493_CSV,GO_0043488_CSV,GO_0043507_EXP,GO_0045944_CSV,GO_0050727_CSV,GO_0051147,GO_0051301,GO_0060999_CSV,GO_0071407_EXP,SFAM_NEK1,FAM_Atypical_EXP,EXP_CSNK2A1,EXP_HASPIN,EXP_FGFR2,EXP_STK31,EXP_CDK6,EXP_TP53RK,EXP_MAP3K9,EXP_EIF2AK3,EXP_NTRK2,EXP_TSSK3,EXP_CDK4,EXP_LMTK2,EXP_MAP2K1,EXP_CDK20,Predicted IC50,Validation
2.605571,688025,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8764695431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1024827369,0,0,0,0,0,0,0,0,0,0,0,0.724162,0,0,0,0,0,0,6.1782492987,7.7649385943,4.1822948126,3.4392438568,3.0155058342,7.0390182465,5.0837733405,3.1881104167,5.0871554887,3.3722372805,3.5630029754,9.2870400278,3.215801382,8.3611834937,3.3750135842,2.9283927175,1
2.194264,688026,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.689396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4047878547,0,0,0,0,6.4047878547,0,0,0,0,0,0,11.868781412,0,0,0,0,0,0,0,3.4926544423,7.3716136301,4.269511195,3.1877354147,3.3846802228,5.8391789534,5.3041560321,3.3937529954,5.5406926108,3.1704294418,4.0981938576,9.4307542387,3.1916114535,6.8428044298,3.7165085392,1.7028942372,1
3.454195,688027,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864874,0,0,0,0,0,0,0,1,0,3.3424647111,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.3330391665,0,0,3.3424647111,0,0,0,1,0.839499,0,0,16.958464161,7.6257437275,4.6854614688,3.0768251464,3.759962008,4.2455647451,3.5743881163,3.3765031807,5.0424709539,3.3330391665,3.8217808661,9.8856485562,2.9367586332,8.7546182054,3.1956745118,3.6569172943,4
1.649766,688031,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.701073,0,0,0,0,1,4.7636713383,0,0,0,0,0,0,0,0,0,0,4.7636713383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7038404656,8.0607694933,5.2395959648,3.7345517878,3.2287704258,7.1211335485,5.2594494723,3.2853184621,6.6562964879,3.0773103094,3.7574948741,8.6082233121,2.9355992632,8.0661978955,3.3180018254,2.9841842787,3
3.900268,713878,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8508176653,0,0,0.772476,0,0,0,0,0,3.8827809066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6278189183,4.3581756074,3.2236936663,3.0800064904,4.4910158351,4.768699644,3.3557975168,5.0133273587,3.0209706245,3.5814872959,9.9964356836,3.1934851864,8.2456746592,3.5542541982,2.7811331496,6
2.618042,724872,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.9491678711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4776375784,0,0,0,0,6.8083319657,0.816871,0,0,0,0,0,0,11.717988937,7.5584423942,3.6111268504,2.914443393,3.3215273415,5.7891910029,4.2591740872,3.4908632011,5.9046133804,2.9740498039,3.6402035433,8.7213897656,3.0531462338,9.163596527,4.2969653705,2.5194024687,6
1.55852,753547,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.829656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.353669991,7.7619461633,4.8679990613,2.9434693702,2.686230988,7.0362131206,5.3969234764,3.2942977276,5.3715908379,3.0179430361,3.6677009313,9.7679794077,3.1643421552,9.0949087615,3.9057722435,2.4517696141,5
2.187562,753551,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9844057516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.54485,0,0,0,0,1,3.9844057516,0,0,0,2.9959325481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.620508308,7.3623880596,3.8320404192,3.3261627862,3.0979261375,3.582396144,3.5765946699,3.6481742925,5.7035505006,2.8827637802,3.6610819112,7.8964215784,3.3083162899,7.9752409557,3.3737197787,3.8104168159,5
3.065327,753564,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9499208876,0,0,0,0,0,0,0.800024,3.330323137,0,0,0,0,0,0.800024,0,0,1,0,0,0,5.2695655429,7.8183940321,3.7383724094,2.9793221846,3.5280045928,4.599783339,4.5437014048,3.2763217495,7.2383949661,3.0068776049,3.797517567,10.01764831,3.0440069966,9.0532185315,3.875928134,2.5384559164,1
2.995164,753565,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.763632,9.5985288937,0,0,0,0,0,0,0,3.499890822,0,0,0,1,0,0,0,0,7.669464882,4.362936435,3.8365277046,3.1888382208,8.581472972,5.5948674124,3.1822715463,5.9326363269,3.4334210925,3.7774966681,9.6861596249,3.0978996009,8.0166310194,3.5037698238,3.118392035,1
2.047816,753582,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0923005655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5108458548,4.3675806153,3.813183633,3.0923005655,7.7131203686,4.3637326442,3.3495492336,5.152015668,3.1113517548,3.3267412815,10.072731207,3.1462847936,7.3874217321,3.4241773536,3.4349104263,2
3.569571,753588,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8083716527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34724846,0,0,0,0,0,0,0,6.1811854294,7.5032190297,5.0621693699,3.040942092,2.9523133483,7.6460140289,5.2256428029,3.3246367063,5.3721248697,2.964732421,3.494765309,8.931645803,2.9100414801,7.903792681,4.267517581,3.1160894192,7
3.937442,753589,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1734832584,0,0,0,0,0,0,3.3451015127,0,0,0,0,0,0,0,0,0.859149,0,0,0,0,0,0,0,0,0,17.883457858,7.0696080734,3.7340765805,2.9864587626,3.0407183421,5.4700521994,4.0506695421,3.3917718458,6.1170898514,2.9803535859,3.5309574689,8.1164795421,2.8579383929,8.5135038899,4.3136595061,3.4390196411,2
1.762713,753594,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4686118579,0,0,0,0,0,0,0,0,0,0,0,0,5.2249021643,7.3415442212,4.5018319462,3.8687289535,3.0377189087,7.3286035571,4.4405253203,3.2323378383,5.4823868314,3.0296859498,5.1331140542,9.4549658391,3.1123067923,8.7663892371,4.1399376457,2.1360687184,4
