IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_819,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_776,Fingerprint_710,Fingerprint_709,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_648,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,GO_0034976,EXP_STK10,EXP_PLK3,EXP_PRKCG,EXP_CLK4,EXP_TLK1,Predicted IC50,Validation
2.126412,924238,38,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.3818267655,1
-3.243719,910568,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-3.023435587,4
-1.883244,924238,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,-2.143407222,7
2.19139,910568,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.8321326863,8
2.585193,924238,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.3236760737,1
-2.631211,910568,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-0.276511335,5
-3.461163,924238,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,0.8760279165,7
2.992879,910568,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-0.276511335,4
3.403407,924238,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,0.8760279165,7
3.54956,910568,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.2085392345,2
1.636691,924238,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.3153977439,3
3.696247,910568,56,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.263620044,2
2.252645,924238,56,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.2714947657,2
3.11134,910568,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.6651043104,10
4.412003,924238,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.7630492498,8
-1.130827,910568,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.7203021264,10
-1.58592,924238,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.8686994954,6
3.959067,910568,63,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,3.7262287366,2
3.840773,924238,63,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,3.9368018267,9
3.494108,910568,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,3.4246246532,5
2.198689,924238,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,4.1475024959,1
-2.024292,910568,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-0.71853122,2
-2.810043,924238,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,-0.652534121,9
-1.372612,910568,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.8321326863,7
-0.737148,924238,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.3236760737,9
-0.673961,910568,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-1.508786329,4
-2.62267,924238,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,-0.636850363,9
4.142867,910568,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.2933429803,10
4.046198,924238,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.5475753752,1
1.965375,910568,106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.6396834084,2
2.641485,924238,106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.9592122192,5
3.452381,910568,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.6226974496,5
3.223269,924238,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.2180024372,6
3.227415,910568,119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.8321326863,8
2.813427,924238,119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.3236760737,5
1.931293,906696,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,2.3578643045,2
3.781149,906795,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,3.4745155443,1
5.766515,906864,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,3.684231487,4.3789523414,3.1605538831,3.445590008,5.2804209954,4.5362572791,1
2.815844,910568,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.9911275312,2
2.878706,924102,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,5.2805996096,5.0604123505,3.3954973622,4.2441295163,5.5344648704,2.8499026701,6
2.806307,924104,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,5.4871670756,5.7365564945,3.3416628895,4.2002853487,5.2892507401,2.2054803418,10
1.195084,924151,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,5.2086232437,4.9840803262,3.2202218213,4.2295887061,4.8056565401,2.2992674328,1
2.429953,924238,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.3044034376,10
5.464797,930299,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,3.0410457739,4.0498271824,3.1467814703,3.7019469694,6.274361535,5.7214788381,8
2.223387,1240154,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,4.7162444395,5.6212543196,3.469323839,5.0934769034,5.1072256447,2.6420300509,8
1.854196,1240178,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,4.5290463462,4.4294054463,3.240948068,4.2699846385,5.3877535341,2.9813328926,6
5.104686,1240223,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,4.6718875837,5.6752311381,3.2892047784,4.1705082584,5.5296149889,2.6296879286,1
3.209882,1290722,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,4.8540869637,4.5379167929,3.2929922365,4.4295536292,5.3884799085,3.1705631164,5
0.201858,906696,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,-1.144941419,5
-0.36999,906795,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,-0.02880169,6
1.599012,906864,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,3.684231487,4.3789523414,3.1605538831,3.445590008,5.2804209954,0.9602124601,2
-3.159954,910568,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-2.158530459,10
-1.245401,924102,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.2805996096,5.0604123505,3.3954973622,4.2441295163,5.5344648704,-0.905576435,9
-1.337733,924104,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.4871670756,5.7365564945,3.3416628895,4.2002853487,5.2892507401,-1.474920575,8
-0.056696,924151,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5.2086232437,4.9840803262,3.2202218213,4.2295887061,4.8056565401,-1.32599617,8
-1.196597,924238,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,-1.715793488,2
2.691812,930299,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,3.0410457739,4.0498271824,3.1467814703,3.7019469694,6.274361535,1.8218074741,5
-1.861738,1240154,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.7162444395,5.6212543196,3.469323839,5.0934769034,5.1072256447,-1.795136719,6
-3.668303,1240178,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.5290463462,4.4294054463,3.240948068,4.2699846385,5.3877535341,-0.727634553,9
-2.129313,1240223,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.6718875837,5.6752311381,3.2892047784,4.1705082584,5.5296149889,-1.133661692,7
-0.562958,1290722,153,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,4.8540869637,4.5379167929,3.2929922365,4.4295536292,5.3884799085,-0.550414246,10
-0.134078,906696,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,0.1106146746,5
-0.475627,906795,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,0.9793574851,8
2.329767,906864,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,3.684231487,4.3789523414,3.1605538831,3.445590008,5.2804209954,2.3643673704,4
-5.635772,910568,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-0.799234088,3
-0.050061,924102,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.2805996096,5.0604123505,3.3954973622,4.2441295163,5.5344648704,0.1801610011,9
-1.052902,924104,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.4871670756,5.7365564945,3.3416628895,4.2002853487,5.2892507401,-0.099589785,2
-0.317303,924151,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.2086232437,4.9840803262,3.2202218213,4.2295887061,4.8056565401,0.0382639568,9
0.098684,924238,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,-0.298740329,9
2.801536,930299,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,3.0410457739,4.0498271824,3.1467814703,3.7019469694,6.274361535,2.8975994626,3
-1.187794,1240154,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.7162444395,5.6212543196,3.469323839,5.0934769034,5.1072256447,-0.938502976,4
-0.917533,1240178,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.5290463462,4.4294054463,3.240948068,4.2699846385,5.3877535341,0.4628595688,10
-1.136702,1240223,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.6718875837,5.6752311381,3.2892047784,4.1705082584,5.5296149889,0.2429936902,3
1.537584,1290722,155,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,4.8540869637,4.5379167929,3.2929922365,4.4295536292,5.3884799085,0.7729034097,5
-0.571255,906696,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,1.143466099,9
-0.722594,906795,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,2.1469049941,1
1.641069,906864,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.684231487,4.3789523414,3.1605538831,3.445590008,5.2804209954,2.4918050058,8
-2.357692,910568,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.0644522427,2
-0.521816,924102,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.2805996096,5.0604123505,3.3954973622,4.2441295163,5.5344648704,0.8522326666,4
-0.797134,924104,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4871670756,5.7365564945,3.3416628895,4.2002853487,5.2892507401,0.6906427719,6
-0.039872,924151,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.2086232437,4.9840803262,3.2202218213,4.2295887061,4.8056565401,1.355791275,4
-0.437516,924238,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.6145381243,1
0.480145,930299,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0410457739,4.0498271824,3.1467814703,3.7019469694,6.274361535,2.9480612037,4
-2.090715,1240154,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.7162444395,5.6212543196,3.469323839,5.0934769034,5.1072256447,0.1484935715,10
-1.223098,1240178,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.5290463462,4.4294054463,3.240948068,4.2699846385,5.3877535341,1.7867305041,1
-1.544707,1240223,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.6718875837,5.6752311381,3.2892047784,4.1705082584,5.5296149889,1.2088566576,4
-0.379609,1290722,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4.8540869637,4.5379167929,3.2929922365,4.4295536292,5.3884799085,1.977443663,5
0.858883,906696,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,1.143466099,3
0.044077,906795,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,2.1469049941,5
3.404831,906864,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.684231487,4.3789523414,3.1605538831,3.445590008,5.2804209954,2.4918050058,4
0.577491,910568,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.0644522427,1
1.216631,924102,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.2805996096,5.0604123505,3.3954973622,4.2441295163,5.5344648704,0.8522326666,2
0.009875,924104,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4871670756,5.7365564945,3.3416628895,4.2002853487,5.2892507401,0.6906427719,9
1.258879,924151,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.2086232437,4.9840803262,3.2202218213,4.2295887061,4.8056565401,1.355791275,1
1.789383,924238,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.6145381243,6
4.280452,930299,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0410457739,4.0498271824,3.1467814703,3.7019469694,6.274361535,2.9480612037,10
0.667252,1240154,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.7162444395,5.6212543196,3.469323839,5.0934769034,5.1072256447,0.1484935715,5
0.801922,1240178,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.5290463462,4.4294054463,3.240948068,4.2699846385,5.3877535341,1.7867305041,9
0.340176,1240223,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.6718875837,5.6752311381,3.2892047784,4.1705082584,5.5296149889,1.2088566576,10
0.729993,1290722,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4.8540869637,4.5379167929,3.2929922365,4.4295536292,5.3884799085,1.977443663,5
2.036244,906696,159,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5.6887633734,5.0922033689,3.2913097329,4.1059921867,5.1641008541,0.1106146746,3
-0.925467,906795,159,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,4.3553195447,4.2311411462,3.1845247075,3.7161075629,5.5401487952,0.9793574851,7
